CountryName,Year,FertilityRate
Afghanistan,1960,7.671
Afghanistan,1961,7.671
Afghanistan,1962,7.671
Afghanistan,1963,7.671
Afghanistan,1964,7.671
Afghanistan,1965,7.671
Afghanistan,1966,7.671
Afghanistan,1967,7.671
Afghanistan,1968,7.671
Afghanistan,1969,7.671
Afghanistan,1970,7.671
Afghanistan,1971,7.671
Afghanistan,1972,7.671
Afghanistan,1973,7.671
Afghanistan,1974,7.671
Afghanistan,1975,7.671
Afghanistan,1976,7.67
Afghanistan,1977,7.67
Afghanistan,1978,7.67
Afghanistan,1979,7.669
Afghanistan,1980,7.669
Afghanistan,1981,7.67
Afghanistan,1982,7.671
Afghanistan,1983,7.672999999999999
Afghanistan,1984,7.676
Afghanistan,1985,7.6789999999999985
Afghanistan,1986,7.681
Afghanistan,1987,7.682
Afghanistan,1988,7.682
Afghanistan,1989,7.682
Afghanistan,1990,7.687
Afghanistan,1991,7.7
Afghanistan,1992,7.725
Afghanistan,1993,7.757999999999999
Afghanistan,1994,7.796
Afghanistan,1995,7.8320000000000025
Afghanistan,1996,7.859
Afghanistan,1997,7.869
Afghanistan,1998,7.854
Afghanistan,1999,7.809
Afghanistan,2000,7.733
Afghanistan,2001,7.6229999999999976
Afghanistan,2002,7.484
Afghanistan,2003,7.3210000000000015
Afghanistan,2004,7.136
Afghanistan,2005,6.93
Afghanistan,2006,6.702000000000001
Afghanistan,2007,6.456
Afghanistan,2008,6.1960000000000015
Afghanistan,2009,5.928
Afghanistan,2010,5.659
Afghanistan,2011,5.395
Afghanistan,2012,
Afghanistan,2013,
