CountryName,Year,FertilityRate
Albania,1960,6.186
Albania,1961,6.0760000000000005
Albania,1962,5.956
Albania,1963,5.8329999999999975
Albania,1964,5.711
Albania,1965,5.593999999999999
Albania,1966,5.483
Albania,1967,5.376
Albania,1968,5.268
Albania,1969,5.16
Albania,1970,5.05
Albania,1971,4.933
Albania,1972,4.809
Albania,1973,4.677
Albania,1974,4.538
Albania,1975,4.393
Albania,1976,4.244
Albania,1977,4.093999999999999
Albania,1978,3.947
Albania,1979,3.807
Albania,1980,3.678
Albania,1981,3.562
Albania,1982,3.46
Albania,1983,3.372
Albania,1984,3.2969999999999997
Albania,1985,3.233
Albania,1986,3.177
Albania,1987,3.1260000000000003
Albania,1988,3.075
Albania,1989,3.023
Albania,1990,2.97
Albania,1991,2.917
Albania,1992,2.867
Albania,1993,2.819
Albania,1994,2.772
Albania,1995,2.7230000000000003
Albania,1996,2.67
Albania,1997,2.611
Albania,1998,2.543
Albania,1999,2.467
Albania,2000,2.383
Albania,2001,2.291
Albania,2002,2.195
Albania,2003,2.097
Albania,2004,2.004
Albania,2005,1.919
Albania,2006,1.849
Albania,2007,1.796
Albania,2008,1.761
Albania,2009,1.744
Albania,2010,1.7409999999999999
Albania,2011,1.7480000000000002
Albania,2012,
Albania,2013,
