CountryName,Year,FertilityRate
Antigua and Barbuda,1960,4.425
Antigua and Barbuda,1961,4.386
Antigua and Barbuda,1962,4.343999999999999
Antigua and Barbuda,1963,4.2989999999999995
Antigua and Barbuda,1964,4.25
Antigua and Barbuda,1965,4.1930000000000005
Antigua and Barbuda,1966,4.125
Antigua and Barbuda,1967,4.042
Antigua and Barbuda,1968,3.9419999999999997
Antigua and Barbuda,1969,3.824
Antigua and Barbuda,1970,3.6839999999999997
Antigua and Barbuda,1971,3.517
Antigua and Barbuda,1972,3.3280000000000003
Antigua and Barbuda,1973,3.122
Antigua and Barbuda,1974,2.908
Antigua and Barbuda,1975,2.701
Antigua and Barbuda,1976,2.5140000000000002
Antigua and Barbuda,1977,2.358
Antigua and Barbuda,1978,2.239
Antigua and Barbuda,1979,2.1590000000000003
Antigua and Barbuda,1980,2.115
Antigua and Barbuda,1981,2.0980000000000003
Antigua and Barbuda,1982,2.096
Antigua and Barbuda,1983,2.0980000000000003
Antigua and Barbuda,1984,2.0980000000000003
Antigua and Barbuda,1985,2.092
Antigua and Barbuda,1986,2.082
Antigua and Barbuda,1987,2.07
Antigua and Barbuda,1988,2.062
Antigua and Barbuda,1989,2.0580000000000003
Antigua and Barbuda,1990,2.061
Antigua and Barbuda,1991,2.073
Antigua and Barbuda,1992,2.096
Antigua and Barbuda,1993,2.128
Antigua and Barbuda,1994,2.166
Antigua and Barbuda,1995,2.208
Antigua and Barbuda,1996,2.248
Antigua and Barbuda,1997,2.281
Antigua and Barbuda,1998,2.3040000000000003
Antigua and Barbuda,1999,2.316
Antigua and Barbuda,2000,2.316
Antigua and Barbuda,2001,2.305
Antigua and Barbuda,2002,2.2880000000000003
Antigua and Barbuda,2003,2.2680000000000002
Antigua and Barbuda,2004,2.246
Antigua and Barbuda,2005,2.224
Antigua and Barbuda,2006,2.2030000000000003
Antigua and Barbuda,2007,2.1830000000000003
Antigua and Barbuda,2008,2.164
Antigua and Barbuda,2009,2.146
Antigua and Barbuda,2010,2.13
Antigua and Barbuda,2011,2.115
Antigua and Barbuda,2012,
Antigua and Barbuda,2013,
