CountryName,Year,FertilityRate
Argentina,1960,3.109
Argentina,1961,3.1
Argentina,1962,3.089
Argentina,1963,3.0780000000000003
Argentina,1964,3.068
Argentina,1965,3.0580000000000003
Argentina,1966,3.051
Argentina,1967,3.048
Argentina,1968,3.049
Argentina,1969,3.056
Argentina,1970,3.073
Argentina,1971,3.1039999999999996
Argentina,1972,3.148
Argentina,1973,3.2030000000000003
Argentina,1974,3.264
Argentina,1975,3.321
Argentina,1976,3.366
Argentina,1977,3.391
Argentina,1978,3.391
Argentina,1979,3.3680000000000003
Argentina,1980,3.325
Argentina,1981,3.27
Argentina,1982,3.213
Argentina,1983,3.1630000000000003
Argentina,1984,3.123
Argentina,1985,3.093
Argentina,1986,3.073
Argentina,1987,3.056
Argentina,1988,3.037
Argentina,1989,3.016
Argentina,1990,2.989
Argentina,1991,2.9560000000000004
Argentina,1992,2.918
Argentina,1993,2.875
Argentina,1994,2.827
Argentina,1995,2.7739999999999996
Argentina,1996,2.717
Argentina,1997,2.657
Argentina,1998,2.596
Argentina,1999,2.535
Argentina,2000,2.477
Argentina,2001,2.424
Argentina,2002,2.379
Argentina,2003,2.34
Argentina,2004,2.31
Argentina,2005,2.286
Argentina,2006,2.2680000000000002
Argentina,2007,2.254
Argentina,2008,2.241
Argentina,2009,2.228
Argentina,2010,2.215
Argentina,2011,2.201
Argentina,2012,
Argentina,2013,
