CountryName,Year,FertilityRate
Austria,1960,2.69
Austria,1961,2.799
Austria,1962,2.798
Austria,1963,2.8110000000000004
Austria,1964,2.77
Austria,1965,2.685
Austria,1966,2.662
Austria,1967,2.63
Austria,1968,2.591
Austria,1969,2.496
Austria,1970,2.29
Austria,1971,2.202
Austria,1972,2.102
Austria,1973,1.97
Austria,1974,1.95
Austria,1975,1.82
Austria,1976,1.6980000000000002
Austria,1977,1.641
Austria,1978,1.621
Austria,1979,1.6
Austria,1980,1.62
Austria,1981,1.67
Austria,1982,1.66
Austria,1983,1.56
Austria,1984,1.53
Austria,1985,1.46
Austria,1986,1.47
Austria,1987,1.42
Austria,1988,1.43
Austria,1989,1.45
Austria,1990,1.45
Austria,1991,1.5
Austria,1992,1.49
Austria,1993,1.48
Austria,1994,1.44
Austria,1995,1.4
Austria,1996,1.42
Austria,1997,1.36
Austria,1998,1.37
Austria,1999,1.34
Austria,2000,1.36
Austria,2001,1.33
Austria,2002,1.39
Austria,2003,1.38
Austria,2004,1.42
Austria,2005,1.41
Austria,2006,1.41
Austria,2007,1.38
Austria,2008,1.41
Austria,2009,1.39
Austria,2010,1.44
Austria,2011,1.42
Austria,2012,
Austria,2013,
