CountryName,Year,FertilityRate
Azerbaijan,1960,5.5710000000000015
Azerbaijan,1961,5.596
Azerbaijan,1962,5.591
Azerbaijan,1963,5.5489999999999995
Azerbaijan,1964,5.468
Azerbaijan,1965,5.352
Azerbaijan,1966,5.21
Azerbaijan,1967,5.056
Azerbaijan,1968,4.901
Azerbaijan,1969,4.753
Azerbaijan,1970,4.612
Azerbaijan,1971,4.479
Azerbaijan,1972,4.348
Azerbaijan,1973,4.216
Azerbaijan,1974,4.084
Azerbaijan,1975,3.95
Azerbaijan,1976,3.8139999999999996
Azerbaijan,1977,3.676
Azerbaijan,1978,3.5389999999999997
Azerbaijan,1979,3.407
Azerbaijan,1980,3.286
Azerbaijan,1981,3.179
Azerbaijan,1982,3.092
Azerbaijan,1983,3.0260000000000002
Azerbaijan,1984,2.98
Azerbaijan,1985,2.91
Azerbaijan,1986,2.9
Azerbaijan,1987,2.903
Azerbaijan,1988,2.8
Azerbaijan,1989,2.8
Azerbaijan,1990,2.74
Azerbaijan,1991,2.87
Azerbaijan,1992,2.74
Azerbaijan,1993,2.7
Azerbaijan,1994,2.52
Azerbaijan,1995,2.29
Azerbaijan,1996,2.06
Azerbaijan,1997,2.07
Azerbaijan,1998,2.0
Azerbaijan,1999,2.07
Azerbaijan,2000,2.0
Azerbaijan,2001,1.8
Azerbaijan,2002,1.8
Azerbaijan,2003,1.9
Azerbaijan,2004,2.0540000000000003
Azerbaijan,2005,2.0
Azerbaijan,2006,1.97
Azerbaijan,2007,1.97
Azerbaijan,2008,1.9
Azerbaijan,2009,1.82
Azerbaijan,2010,1.92
Azerbaijan,2011,1.92
Azerbaijan,2012,
Azerbaijan,2013,
