CountryName,Year,FertilityRate
Bahrain,1960,7.09
Bahrain,1961,7.1320000000000014
Bahrain,1962,7.1679999999999975
Bahrain,1963,7.19
Bahrain,1964,7.192
Bahrain,1965,7.165
Bahrain,1966,7.101
Bahrain,1967,6.9979999999999976
Bahrain,1968,6.86
Bahrain,1969,6.69
Bahrain,1970,6.4979999999999976
Bahrain,1971,6.2929999999999975
Bahrain,1972,6.0889999999999995
Bahrain,1973,5.895
Bahrain,1974,5.716
Bahrain,1975,5.556
Bahrain,1976,5.414
Bahrain,1977,5.2829999999999995
Bahrain,1978,5.157
Bahrain,1979,5.0360000000000005
Bahrain,1980,4.917
Bahrain,1981,4.802
Bahrain,1982,4.69
Bahrain,1983,4.581
Bahrain,1984,4.4719999999999995
Bahrain,1985,4.362
Bahrain,1986,4.248
Bahrain,1987,4.128
Bahrain,1988,4.002
Bahrain,1989,3.872
Bahrain,1990,3.738
Bahrain,1991,3.6010000000000004
Bahrain,1992,3.466
Bahrain,1993,3.335
Bahrain,1994,3.2119999999999997
Bahrain,1995,3.1
Bahrain,1996,3.005
Bahrain,1997,2.926
Bahrain,1998,2.862
Bahrain,1999,2.81
Bahrain,2000,2.765
Bahrain,2001,2.718
Bahrain,2002,2.665
Bahrain,2003,2.602
Bahrain,2004,2.529
Bahrain,2005,2.449
Bahrain,2006,2.367
Bahrain,2007,2.292
Bahrain,2008,2.229
Bahrain,2009,2.1790000000000003
Bahrain,2010,2.142
Bahrain,2011,2.115
Bahrain,2012,
Bahrain,2013,
