CountryName,Year,FertilityRate
Bangladesh,1960,6.725
Bangladesh,1961,6.761
Bangladesh,1962,6.794
Bangladesh,1963,6.825
Bangladesh,1964,6.853
Bangladesh,1965,6.877999999999999
Bangladesh,1966,6.901
Bangladesh,1967,6.92
Bangladesh,1968,6.935
Bangladesh,1969,6.945
Bangladesh,1970,6.947
Bangladesh,1971,6.942
Bangladesh,1972,6.928
Bangladesh,1973,6.904
Bangladesh,1974,6.869
Bangladesh,1975,6.8210000000000015
Bangladesh,1976,6.757999999999999
Bangladesh,1977,6.68
Bangladesh,1978,6.5870000000000015
Bangladesh,1979,6.48
Bangladesh,1980,6.356
Bangladesh,1981,6.216
Bangladesh,1982,6.06
Bangladesh,1983,5.89
Bangladesh,1984,5.71
Bangladesh,1985,5.522
Bangladesh,1986,5.327000000000001
Bangladesh,1987,5.13
Bangladesh,1988,4.9319999999999995
Bangladesh,1989,4.738
Bangladesh,1990,4.55
Bangladesh,1991,4.37
Bangladesh,1992,4.197
Bangladesh,1993,4.033
Bangladesh,1994,3.878
Bangladesh,1995,3.7319999999999998
Bangladesh,1996,3.596
Bangladesh,1997,3.468
Bangladesh,1998,3.346
Bangladesh,1999,3.2310000000000003
Bangladesh,2000,3.12
Bangladesh,2001,3.011
Bangladesh,2002,2.905
Bangladesh,2003,2.802
Bangladesh,2004,2.702
Bangladesh,2005,2.6069999999999998
Bangladesh,2006,2.52
Bangladesh,2007,2.443
Bangladesh,2008,2.377
Bangladesh,2009,2.322
Bangladesh,2010,2.2769999999999997
Bangladesh,2011,2.24
Bangladesh,2012,
Bangladesh,2013,
