CountryName,Year,FertilityRate
Belarus,1960,2.67
Belarus,1961,2.59
Belarus,1962,2.5
Belarus,1963,2.4
Belarus,1964,2.31
Belarus,1965,2.27
Belarus,1966,2.29
Belarus,1967,2.26
Belarus,1968,2.22
Belarus,1969,2.26
Belarus,1970,2.31
Belarus,1971,2.31
Belarus,1972,2.28
Belarus,1973,2.25
Belarus,1974,2.21
Belarus,1975,2.17
Belarus,1976,2.12
Belarus,1977,2.08
Belarus,1978,2.06
Belarus,1979,2.05
Belarus,1980,2.03
Belarus,1981,2.02
Belarus,1982,2.05
Belarus,1983,2.11
Belarus,1984,2.11
Belarus,1985,2.09
Belarus,1986,2.09
Belarus,1987,2.03
Belarus,1988,2.04
Belarus,1989,2.03
Belarus,1990,1.91
Belarus,1991,1.8
Belarus,1992,1.75
Belarus,1993,1.61
Belarus,1994,1.51
Belarus,1995,1.386
Belarus,1996,1.31
Belarus,1997,1.23
Belarus,1998,1.27
Belarus,1999,1.31
Belarus,2000,1.31
Belarus,2001,1.27
Belarus,2002,1.22
Belarus,2003,1.21
Belarus,2004,1.2
Belarus,2005,1.21
Belarus,2006,1.287
Belarus,2007,1.37
Belarus,2008,1.42
Belarus,2009,1.42
Belarus,2010,1.44
Belarus,2011,1.51
Belarus,2012,
Belarus,2013,
