CountryName,Year,FertilityRate
Benin,1960,6.282
Benin,1961,6.3389999999999995
Benin,1962,6.394
Benin,1963,6.447
Benin,1964,6.497000000000001
Benin,1965,6.544
Benin,1966,6.587999999999999
Benin,1967,6.63
Benin,1968,6.671
Benin,1969,6.71
Benin,1970,6.7479999999999976
Benin,1971,6.7860000000000005
Benin,1972,6.8229999999999995
Benin,1973,6.86
Benin,1974,6.896
Benin,1975,6.928999999999999
Benin,1976,6.959
Benin,1977,6.984
Benin,1978,7.004
Benin,1979,7.018
Benin,1980,7.025
Benin,1981,7.025
Benin,1982,7.021
Benin,1983,7.01
Benin,1984,6.994
Benin,1985,6.972
Benin,1986,6.942
Benin,1987,6.904
Benin,1988,6.858
Benin,1989,6.805
Benin,1990,6.744
Benin,1991,6.6770000000000005
Benin,1992,6.603
Benin,1993,6.526
Benin,1994,6.4460000000000015
Benin,1995,6.365
Benin,1996,6.284
Benin,1997,6.205
Benin,1998,6.127999999999999
Benin,1999,6.051
Benin,2000,5.975
Benin,2001,5.898
Benin,2002,5.818
Benin,2003,5.733
Benin,2004,5.645
Benin,2005,5.553
Benin,2006,5.459
Benin,2007,5.365
Benin,2008,5.273
Benin,2009,5.182
Benin,2010,5.095
Benin,2011,5.01
Benin,2012,
Benin,2013,
