CountryName,Year,FertilityRate
Bhutan,1960,6.67
Bhutan,1961,6.67
Bhutan,1962,6.67
Bhutan,1963,6.67
Bhutan,1964,6.67
Bhutan,1965,6.67
Bhutan,1966,6.67
Bhutan,1967,6.67
Bhutan,1968,6.67
Bhutan,1969,6.67
Bhutan,1970,6.671
Bhutan,1971,6.6739999999999995
Bhutan,1972,6.678999999999999
Bhutan,1973,6.685
Bhutan,1974,6.69
Bhutan,1975,6.692
Bhutan,1976,6.685
Bhutan,1977,6.6679999999999975
Bhutan,1978,6.64
Bhutan,1979,6.601
Bhutan,1980,6.553
Bhutan,1981,6.504
Bhutan,1982,6.456
Bhutan,1983,6.41
Bhutan,1984,6.362
Bhutan,1985,6.306
Bhutan,1986,6.23
Bhutan,1987,6.1270000000000024
Bhutan,1988,5.994
Bhutan,1989,5.829
Bhutan,1990,5.638999999999999
Bhutan,1991,5.431
Bhutan,1992,5.216
Bhutan,1993,5.003
Bhutan,1994,4.796
Bhutan,1995,4.5969999999999995
Bhutan,1996,4.401
Bhutan,1997,4.205
Bhutan,1998,4.006
Bhutan,1999,3.806
Bhutan,2000,3.608
Bhutan,2001,3.417
Bhutan,2002,3.237
Bhutan,2003,3.071
Bhutan,2004,2.923
Bhutan,2005,2.793
Bhutan,2006,2.682
Bhutan,2007,2.5869999999999997
Bhutan,2008,2.506
Bhutan,2009,2.436
Bhutan,2010,2.375
Bhutan,2011,2.322
Bhutan,2012,
Bhutan,2013,
