CountryName,Year,FertilityRate
Bosnia and Herzegovina,1960,4.052
Bosnia and Herzegovina,1961,3.9539999999999997
Bosnia and Herzegovina,1962,3.8489999999999998
Bosnia and Herzegovina,1963,3.737
Bosnia and Herzegovina,1964,3.6189999999999998
Bosnia and Herzegovina,1965,3.495
Bosnia and Herzegovina,1966,3.367
Bosnia and Herzegovina,1967,3.239
Bosnia and Herzegovina,1968,3.114
Bosnia and Herzegovina,1969,2.9939999999999998
Bosnia and Herzegovina,1970,2.8810000000000002
Bosnia and Herzegovina,1971,2.775
Bosnia and Herzegovina,1972,2.675
Bosnia and Herzegovina,1973,2.5810000000000004
Bosnia and Herzegovina,1974,2.4930000000000003
Bosnia and Herzegovina,1975,2.412
Bosnia and Herzegovina,1976,2.336
Bosnia and Herzegovina,1977,2.267
Bosnia and Herzegovina,1978,2.202
Bosnia and Herzegovina,1979,2.144
Bosnia and Herzegovina,1980,2.092
Bosnia and Herzegovina,1981,2.05
Bosnia and Herzegovina,1982,2.017
Bosnia and Herzegovina,1983,1.992
Bosnia and Herzegovina,1984,1.973
Bosnia and Herzegovina,1985,1.953
Bosnia and Herzegovina,1986,1.925
Bosnia and Herzegovina,1987,1.8869999999999998
Bosnia and Herzegovina,1988,1.8359999999999999
Bosnia and Herzegovina,1989,1.775
Bosnia and Herzegovina,1990,1.7080000000000002
Bosnia and Herzegovina,1991,1.645
Bosnia and Herzegovina,1992,1.594
Bosnia and Herzegovina,1993,1.558
Bosnia and Herzegovina,1994,1.538
Bosnia and Herzegovina,1995,1.528
Bosnia and Herzegovina,1996,1.5190000000000001
Bosnia and Herzegovina,1997,1.5030000000000001
Bosnia and Herzegovina,1998,1.474
Bosnia and Herzegovina,1999,1.433
Bosnia and Herzegovina,2000,1.381
Bosnia and Herzegovina,2001,1.325
Bosnia and Herzegovina,2002,1.275
Bosnia and Herzegovina,2003,1.236
Bosnia and Herzegovina,2004,1.21
Bosnia and Herzegovina,2005,1.199
Bosnia and Herzegovina,2006,1.199
Bosnia and Herzegovina,2007,1.207
Bosnia and Herzegovina,2008,1.218
Bosnia and Herzegovina,2009,1.23
Bosnia and Herzegovina,2010,1.242
Bosnia and Herzegovina,2011,1.255
Bosnia and Herzegovina,2012,
Bosnia and Herzegovina,2013,
