CountryName,Year,FertilityRate
Brunei Darussalam,1960,6.487
Brunei Darussalam,1961,6.487
Brunei Darussalam,1962,6.4479999999999995
Brunei Darussalam,1963,6.36
Brunei Darussalam,1964,6.227
Brunei Darussalam,1965,6.068
Brunei Darussalam,1966,5.9179999999999975
Brunei Darussalam,1967,5.803999999999999
Brunei Darussalam,1968,5.742000000000001
Brunei Darussalam,1969,5.731
Brunei Darussalam,1970,5.751
Brunei Darussalam,1971,5.771
Brunei Darussalam,1972,5.757999999999999
Brunei Darussalam,1973,5.687
Brunei Darussalam,1974,5.555
Brunei Darussalam,1975,5.365
Brunei Darussalam,1976,5.1320000000000014
Brunei Darussalam,1977,4.8839999999999995
Brunei Darussalam,1978,4.645
Brunei Darussalam,1979,4.428999999999999
Brunei Darussalam,1980,4.246
Brunei Darussalam,1981,4.103
Brunei Darussalam,1982,3.992
Brunei Darussalam,1983,3.906
Brunei Darussalam,1984,3.843
Brunei Darussalam,1985,3.7939999999999996
Brunei Darussalam,1986,3.755
Brunei Darussalam,1987,3.715
Brunei Darussalam,1988,3.668
Brunei Darussalam,1989,3.608
Brunei Darussalam,1990,3.532
Brunei Darussalam,1991,3.435
Brunei Darussalam,1992,3.321
Brunei Darussalam,1993,3.197
Brunei Darussalam,1994,3.0639999999999996
Brunei Darussalam,1995,2.929
Brunei Darussalam,1996,2.798
Brunei Darussalam,1997,2.677
Brunei Darussalam,1998,2.569
Brunei Darussalam,1999,2.477
Brunei Darussalam,2000,2.401
Brunei Darussalam,2001,2.3409999999999997
Brunei Darussalam,2002,2.292
Brunei Darussalam,2003,2.249
Brunei Darussalam,2004,2.211
Brunei Darussalam,2005,2.177
Brunei Darussalam,2006,2.147
Brunei Darussalam,2007,2.119
Brunei Darussalam,2008,2.095
Brunei Darussalam,2009,2.072
Brunei Darussalam,2010,2.051
Brunei Darussalam,2011,2.031
Brunei Darussalam,2012,
Brunei Darussalam,2013,
