CountryName,Year,FertilityRate
Bulgaria,1960,2.3080000000000003
Bulgaria,1961,2.29
Bulgaria,1962,2.24
Bulgaria,1963,2.21
Bulgaria,1964,2.19
Bulgaria,1965,2.09
Bulgaria,1966,2.03
Bulgaria,1967,2.02
Bulgaria,1968,2.27
Bulgaria,1969,2.27
Bulgaria,1970,2.17
Bulgaria,1971,2.1
Bulgaria,1972,2.03
Bulgaria,1973,2.15
Bulgaria,1974,2.29
Bulgaria,1975,2.23
Bulgaria,1976,2.24
Bulgaria,1977,2.2
Bulgaria,1978,2.15
Bulgaria,1979,2.15
Bulgaria,1980,2.05
Bulgaria,1981,2.01
Bulgaria,1982,2.02
Bulgaria,1983,2.0
Bulgaria,1984,1.99
Bulgaria,1985,1.95
Bulgaria,1986,1.99
Bulgaria,1987,1.96
Bulgaria,1988,1.97
Bulgaria,1989,1.9
Bulgaria,1990,1.81
Bulgaria,1991,1.65
Bulgaria,1992,1.54
Bulgaria,1993,1.45
Bulgaria,1994,1.37
Bulgaria,1995,1.23
Bulgaria,1996,1.24
Bulgaria,1997,1.09
Bulgaria,1998,1.11
Bulgaria,1999,1.23
Bulgaria,2000,1.26
Bulgaria,2001,1.21
Bulgaria,2002,1.21
Bulgaria,2003,1.23
Bulgaria,2004,1.29
Bulgaria,2005,1.32
Bulgaria,2006,1.38
Bulgaria,2007,1.42
Bulgaria,2008,1.48
Bulgaria,2009,1.57
Bulgaria,2010,1.49
Bulgaria,2011,1.51
Bulgaria,2012,
Bulgaria,2013,
