CountryName,Year,FertilityRate
Cambodia,1960,6.9670000000000005
Cambodia,1961,6.9639999999999995
Cambodia,1962,6.955
Cambodia,1963,6.937
Cambodia,1964,6.909
Cambodia,1965,6.867999999999999
Cambodia,1966,6.815
Cambodia,1967,6.749
Cambodia,1968,6.6720000000000015
Cambodia,1969,6.5829999999999975
Cambodia,1970,6.475
Cambodia,1971,6.337999999999999
Cambodia,1972,6.172999999999999
Cambodia,1973,5.9879999999999995
Cambodia,1974,5.795
Cambodia,1975,5.622000000000001
Cambodia,1976,5.4979999999999976
Cambodia,1977,5.441
Cambodia,1978,5.459
Cambodia,1979,5.545
Cambodia,1980,5.685
Cambodia,1981,5.85
Cambodia,1982,6.007999999999999
Cambodia,1983,6.13
Cambodia,1984,6.2
Cambodia,1985,6.21
Cambodia,1986,6.16
Cambodia,1987,6.065
Cambodia,1988,5.941
Cambodia,1989,5.7920000000000025
Cambodia,1990,5.6229999999999976
Cambodia,1991,5.438
Cambodia,1992,5.24
Cambodia,1993,5.033
Cambodia,1994,4.825
Cambodia,1995,4.62
Cambodia,1996,4.423
Cambodia,1997,4.2360000000000015
Cambodia,1998,4.059
Cambodia,1999,3.8960000000000004
Cambodia,2000,3.75
Cambodia,2001,3.6189999999999998
Cambodia,2002,3.5039999999999996
Cambodia,2003,3.4010000000000002
Cambodia,2004,3.31
Cambodia,2005,3.23
Cambodia,2006,3.162
Cambodia,2007,3.102
Cambodia,2008,3.051
Cambodia,2009,3.0069999999999997
Cambodia,2010,2.966
Cambodia,2011,2.929
Cambodia,2012,
Cambodia,2013,
