CountryName,Year,FertilityRate
Canada,1960,3.8110000000000004
Canada,1961,3.753
Canada,1962,3.681
Canada,1963,3.6069999999999998
Canada,1964,3.4560000000000004
Canada,1965,3.115
Canada,1966,2.7489999999999997
Canada,1967,2.528
Canada,1968,2.386
Canada,1969,2.334
Canada,1970,2.258
Canada,1971,2.141
Canada,1972,1.98
Canada,1973,1.89
Canada,1974,1.837
Canada,1975,1.824
Canada,1976,1.796
Canada,1977,1.7819999999999998
Canada,1978,1.768
Canada,1979,1.754
Canada,1980,1.74
Canada,1981,1.7
Canada,1982,1.69
Canada,1983,1.68
Canada,1984,1.65
Canada,1985,1.67
Canada,1986,1.675
Canada,1987,1.68
Canada,1988,1.68
Canada,1989,1.77
Canada,1990,1.83
Canada,1991,1.7
Canada,1992,1.71
Canada,1993,1.7
Canada,1994,1.669
Canada,1995,1.639
Canada,1996,1.5919999999999999
Canada,1997,1.55
Canada,1998,1.53
Canada,1999,1.51
Canada,2000,1.49
Canada,2001,1.505
Canada,2002,1.52
Canada,2003,1.53
Canada,2004,1.53
Canada,2005,1.54
Canada,2006,1.5859999999999999
Canada,2007,1.659
Canada,2008,1.681
Canada,2009,1.6680000000000001
Canada,2010,1.6269999999999998
Canada,2011,1.6269999999999998
Canada,2012,
Canada,2013,
