CountryName,Year,FertilityRate
Chad,1960,6.25
Chad,1961,6.268
Chad,1962,6.285
Chad,1963,6.301
Chad,1964,6.318
Chad,1965,6.3370000000000015
Chad,1966,6.362
Chad,1967,6.393
Chad,1968,6.432
Chad,1969,6.477
Chad,1970,6.528
Chad,1971,6.5820000000000025
Chad,1972,6.636
Chad,1973,6.688
Chad,1974,6.7360000000000015
Chad,1975,6.78
Chad,1976,6.82
Chad,1977,6.857
Chad,1978,6.892
Chad,1979,6.925
Chad,1980,6.9579999999999975
Chad,1981,6.99
Chad,1982,7.023
Chad,1983,7.056
Chad,1984,7.0889999999999995
Chad,1985,7.124
Chad,1986,7.1610000000000005
Chad,1987,7.199
Chad,1988,7.237999999999999
Chad,1989,7.276
Chad,1990,7.313
Chad,1991,7.346
Chad,1992,7.376
Chad,1993,7.399
Chad,1994,7.416
Chad,1995,7.425
Chad,1996,7.426
Chad,1997,7.419
Chad,1998,7.405
Chad,1999,7.383999999999999
Chad,2000,7.354
Chad,2001,7.315
Chad,2002,7.268
Chad,2003,7.2120000000000015
Chad,2004,7.147
Chad,2005,7.074
Chad,2006,6.992000000000001
Chad,2007,6.902
Chad,2008,6.805
Chad,2009,6.702000000000001
Chad,2010,6.596
Chad,2011,6.4860000000000015
Chad,2012,
Chad,2013,
