CountryName,Year,FertilityRate
China,1960,5.757999999999999
China,1961,5.8870000000000005
China,1962,6.007999999999999
China,1963,6.103
China,1964,6.157
China,1965,6.1610000000000005
China,1966,6.11
China,1967,6.011
China,1968,5.871
China,1969,5.692
China,1970,5.47
China,1971,5.2
China,1972,4.887
China,1973,4.542
China,1974,4.181
China,1975,3.826
China,1976,3.497
China,1977,3.2119999999999997
China,1978,2.9819999999999998
China,1979,2.813
China,1980,2.71
China,1981,2.673
China,1982,2.682
China,1983,2.72
China,1984,2.7689999999999997
China,1985,2.8110000000000004
China,1986,2.826
China,1987,2.806
China,1988,2.745
China,1989,2.6439999999999997
China,1990,2.506
China,1991,2.342
China,1992,2.171
China,1993,2.009
China,1994,1.865
China,1995,1.746
China,1996,1.656
China,1997,1.591
China,1998,1.546
China,1999,1.52
China,2000,1.51
China,2001,1.514
China,2002,1.527
China,2003,1.546
China,2004,1.5659999999999998
China,2005,1.585
China,2006,1.6019999999999999
China,2007,1.617
China,2008,1.63
China,2009,1.642
China,2010,1.65
China,2011,1.6569999999999998
China,2012,
China,2013,
