CountryName,Year,FertilityRate
Colombia,1960,6.807
Colombia,1961,6.8
Colombia,1962,6.776
Colombia,1963,6.731
Colombia,1964,6.6610000000000005
Colombia,1965,6.559
Colombia,1966,6.4220000000000015
Colombia,1967,6.25
Colombia,1968,6.05
Colombia,1969,5.83
Colombia,1970,5.599
Colombia,1971,5.37
Colombia,1972,5.153
Colombia,1973,4.956
Colombia,1974,4.782
Colombia,1975,4.631
Colombia,1976,4.497
Colombia,1977,4.372
Colombia,1978,4.247
Colombia,1979,4.121
Colombia,1980,3.9930000000000003
Colombia,1981,3.867
Colombia,1982,3.7439999999999998
Colombia,1983,3.63
Colombia,1984,3.525
Colombia,1985,3.43
Colombia,1986,3.347
Colombia,1987,3.275
Colombia,1988,3.2110000000000003
Colombia,1989,3.155
Colombia,1990,3.1039999999999996
Colombia,1991,3.057
Colombia,1992,3.012
Colombia,1993,2.966
Colombia,1994,2.92
Colombia,1995,2.872
Colombia,1996,2.823
Colombia,1997,2.775
Colombia,1998,2.727
Colombia,1999,2.682
Colombia,2000,2.64
Colombia,2001,2.603
Colombia,2002,2.57
Colombia,2003,2.542
Colombia,2004,2.5180000000000002
Colombia,2005,2.496
Colombia,2006,2.475
Colombia,2007,2.454
Colombia,2008,2.43
Colombia,2009,2.405
Colombia,2010,2.376
Colombia,2011,2.346
Colombia,2012,
Colombia,2013,
