CountryName,Year,FertilityRate
"Congo, Dem. Rep.",1960,6.001
"Congo, Dem. Rep.",1961,6.015
"Congo, Dem. Rep.",1962,6.03
"Congo, Dem. Rep.",1963,6.047999999999999
"Congo, Dem. Rep.",1964,6.067
"Congo, Dem. Rep.",1965,6.0889999999999995
"Congo, Dem. Rep.",1966,6.1110000000000015
"Congo, Dem. Rep.",1967,6.135
"Congo, Dem. Rep.",1968,6.1610000000000005
"Congo, Dem. Rep.",1969,6.187
"Congo, Dem. Rep.",1970,6.2139999999999995
"Congo, Dem. Rep.",1971,6.242000000000001
"Congo, Dem. Rep.",1972,6.271
"Congo, Dem. Rep.",1973,6.301
"Congo, Dem. Rep.",1974,6.3329999999999975
"Congo, Dem. Rep.",1975,6.3660000000000005
"Congo, Dem. Rep.",1976,6.403
"Congo, Dem. Rep.",1977,6.443
"Congo, Dem. Rep.",1978,6.487
"Congo, Dem. Rep.",1979,6.535
"Congo, Dem. Rep.",1980,6.585
"Congo, Dem. Rep.",1981,6.636
"Congo, Dem. Rep.",1982,6.689
"Congo, Dem. Rep.",1983,6.742000000000001
"Congo, Dem. Rep.",1984,6.794
"Congo, Dem. Rep.",1985,6.847
"Congo, Dem. Rep.",1986,6.902
"Congo, Dem. Rep.",1987,6.96
"Congo, Dem. Rep.",1988,7.019
"Congo, Dem. Rep.",1989,7.077000000000001
"Congo, Dem. Rep.",1990,7.132999999999999
"Congo, Dem. Rep.",1991,7.183
"Congo, Dem. Rep.",1992,7.223
"Congo, Dem. Rep.",1993,7.251
"Congo, Dem. Rep.",1994,7.267
"Congo, Dem. Rep.",1995,7.267
"Congo, Dem. Rep.",1996,7.252999999999999
"Congo, Dem. Rep.",1997,7.227
"Congo, Dem. Rep.",1998,7.19
"Congo, Dem. Rep.",1999,7.143
"Congo, Dem. Rep.",2000,7.0889999999999995
"Congo, Dem. Rep.",2001,7.027
"Congo, Dem. Rep.",2002,6.96
"Congo, Dem. Rep.",2003,6.8870000000000005
"Congo, Dem. Rep.",2004,6.809
"Congo, Dem. Rep.",2005,6.728
"Congo, Dem. Rep.",2006,6.642
"Congo, Dem. Rep.",2007,6.55
"Congo, Dem. Rep.",2008,6.454
"Congo, Dem. Rep.",2009,6.354
"Congo, Dem. Rep.",2010,6.251
"Congo, Dem. Rep.",2011,6.146
"Congo, Dem. Rep.",2012,
"Congo, Dem. Rep.",2013,
