CountryName,Year,FertilityRate
Costa Rica,1960,7.311
Costa Rica,1961,7.295
Costa Rica,1962,7.221
Costa Rica,1963,7.085
Costa Rica,1964,6.886
Costa Rica,1965,6.631
Costa Rica,1966,6.327999999999999
Costa Rica,1967,5.997000000000001
Costa Rica,1968,5.657
Costa Rica,1969,5.324
Costa Rica,1970,5.012
Costa Rica,1971,4.7330000000000005
Costa Rica,1972,4.488
Costa Rica,1973,4.2780000000000005
Costa Rica,1974,4.105
Costa Rica,1975,3.968
Costa Rica,1976,3.864
Costa Rica,1977,3.784
Costa Rica,1978,3.719
Costa Rica,1979,3.665
Costa Rica,1980,3.6180000000000003
Costa Rica,1981,3.577
Costa Rica,1982,3.5439999999999996
Costa Rica,1983,3.517
Costa Rica,1984,3.491
Costa Rica,1985,3.463
Costa Rica,1986,3.427
Costa Rica,1987,3.38
Costa Rica,1988,3.323
Costa Rica,1989,3.2539999999999996
Costa Rica,1990,3.175
Costa Rica,1991,3.09
Costa Rica,1992,3.002
Costa Rica,1993,2.917
Costa Rica,1994,2.835
Costa Rica,1995,2.758
Costa Rica,1996,2.6860000000000004
Costa Rica,1997,2.616
Costa Rica,1998,2.548
Costa Rica,1999,2.481
Costa Rica,2000,2.414
Costa Rica,2001,2.345
Costa Rica,2002,2.275
Costa Rica,2003,2.204
Costa Rica,2004,2.134
Costa Rica,2005,2.0669999999999997
Costa Rica,2006,2.006
Costa Rica,2007,1.953
Costa Rica,2008,1.909
Costa Rica,2009,1.874
Costa Rica,2010,1.847
Costa Rica,2011,1.827
Costa Rica,2012,
Costa Rica,2013,
