CountryName,Year,FertilityRate
Croatia,1960,2.332
Croatia,1961,2.302
Croatia,1962,2.273
Croatia,1963,2.2430000000000003
Croatia,1964,2.211
Croatia,1965,2.177
Croatia,1966,2.141
Croatia,1967,2.104
Croatia,1968,2.068
Croatia,1969,2.035
Croatia,1970,2.0069999999999997
Croatia,1971,1.9869999999999999
Croatia,1972,1.975
Croatia,1973,1.972
Croatia,1974,1.976
Croatia,1975,1.985
Croatia,1976,1.996
Croatia,1977,2.005
Croatia,1978,2.01
Croatia,1979,2.01
Croatia,1980,2.004
Croatia,1981,1.993
Croatia,1982,1.9
Croatia,1983,1.88
Croatia,1984,1.87
Croatia,1985,1.82
Croatia,1986,1.76
Croatia,1987,1.64
Croatia,1988,1.79
Croatia,1989,1.63
Croatia,1990,1.63
Croatia,1991,1.53
Croatia,1992,1.48
Croatia,1993,1.52
Croatia,1994,1.47
Croatia,1995,1.58
Croatia,1996,1.67
Croatia,1997,1.69
Croatia,1998,1.45
Croatia,1999,1.38
Croatia,2000,1.39
Croatia,2001,1.38
Croatia,2002,1.34
Croatia,2003,1.33
Croatia,2004,1.35
Croatia,2005,1.41
Croatia,2006,1.38
Croatia,2007,1.4
Croatia,2008,1.47
Croatia,2009,1.5
Croatia,2010,1.46
Croatia,2011,1.46
Croatia,2012,
Croatia,2013,
