CountryName,Year,FertilityRate
Curacao,1960,
Curacao,1961,
Curacao,1962,
Curacao,1963,
Curacao,1964,
Curacao,1965,
Curacao,1966,
Curacao,1967,
Curacao,1968,
Curacao,1969,
Curacao,1970,
Curacao,1971,
Curacao,1972,
Curacao,1973,
Curacao,1974,
Curacao,1975,
Curacao,1976,
Curacao,1977,
Curacao,1978,
Curacao,1979,
Curacao,1980,
Curacao,1981,
Curacao,1982,
Curacao,1983,
Curacao,1984,
Curacao,1985,
Curacao,1986,
Curacao,1987,
Curacao,1988,
Curacao,1989,
Curacao,1990,
Curacao,1991,
Curacao,1992,
Curacao,1993,
Curacao,1994,
Curacao,1995,
Curacao,1996,
Curacao,1997,
Curacao,1998,
Curacao,1999,
Curacao,2000,
Curacao,2001,
Curacao,2002,
Curacao,2003,
Curacao,2004,
Curacao,2005,
Curacao,2006,2.1
Curacao,2007,2.0
Curacao,2008,2.2
Curacao,2009,2.1
Curacao,2010,2.2
Curacao,2011,
Curacao,2012,
Curacao,2013,
