CountryName,Year,FertilityRate
Djibouti,1960,6.461
Djibouti,1961,6.492999999999999
Djibouti,1962,6.527
Djibouti,1963,6.561
Djibouti,1964,6.595
Djibouti,1965,6.629
Djibouti,1966,6.665
Djibouti,1967,6.702000000000001
Djibouti,1968,6.739
Djibouti,1969,6.774
Djibouti,1970,6.803999999999999
Djibouti,1971,6.8260000000000005
Djibouti,1972,6.836
Djibouti,1973,6.834
Djibouti,1974,6.817
Djibouti,1975,6.784
Djibouti,1976,6.734
Djibouti,1977,6.671
Djibouti,1978,6.598
Djibouti,1979,6.52
Djibouti,1980,6.443
Djibouti,1981,6.3729999999999976
Djibouti,1982,6.316
Djibouti,1983,6.271
Djibouti,1984,6.239
Djibouti,1985,6.218
Djibouti,1986,6.205
Djibouti,1987,6.193
Djibouti,1988,6.1739999999999995
Djibouti,1989,6.142
Djibouti,1990,6.0870000000000015
Djibouti,1991,6.0
Djibouti,1992,5.879
Djibouti,1993,5.727
Djibouti,1994,5.547999999999999
Djibouti,1995,5.352
Djibouti,1996,5.148
Djibouti,1997,4.95
Djibouti,1998,4.768
Djibouti,1999,4.607
Djibouti,2000,4.468999999999999
Djibouti,2001,4.353
Djibouti,2002,4.253
Djibouti,2003,4.16
Djibouti,2004,4.074
Djibouti,2005,3.991
Djibouti,2006,3.911
Djibouti,2007,3.832
Djibouti,2008,3.755
Djibouti,2009,3.679
Djibouti,2010,3.6039999999999996
Djibouti,2011,3.53
Djibouti,2012,
Djibouti,2013,
