CountryName,Year,FertilityRate
Dominica,1960,
Dominica,1961,
Dominica,1962,
Dominica,1963,
Dominica,1964,
Dominica,1965,
Dominica,1966,
Dominica,1967,
Dominica,1968,
Dominica,1969,
Dominica,1970,
Dominica,1971,
Dominica,1972,5.5
Dominica,1973,
Dominica,1974,
Dominica,1975,
Dominica,1976,
Dominica,1977,
Dominica,1978,
Dominica,1979,
Dominica,1980,
Dominica,1981,
Dominica,1982,3.52
Dominica,1983,
Dominica,1984,
Dominica,1985,
Dominica,1986,
Dominica,1987,3.0
Dominica,1988,
Dominica,1989,
Dominica,1990,
Dominica,1991,
Dominica,1992,2.5
Dominica,1993,
Dominica,1994,
Dominica,1995,
Dominica,1996,
Dominica,1997,1.9
Dominica,1998,
Dominica,1999,
Dominica,2000,
Dominica,2001,
Dominica,2002,1.9
Dominica,2003,1.9
Dominica,2004,
Dominica,2005,
Dominica,2006,
Dominica,2007,
Dominica,2008,
Dominica,2009,
Dominica,2010,
Dominica,2011,
Dominica,2012,
Dominica,2013,
