CountryName,Year,FertilityRate
Dominican Republic,1960,7.555
Dominican Republic,1961,7.487999999999999
Dominican Republic,1962,7.404
Dominican Republic,1963,7.3039999999999985
Dominican Republic,1964,7.187
Dominican Republic,1965,7.053999999999999
Dominican Republic,1966,6.904
Dominican Republic,1967,6.739
Dominican Republic,1968,6.562
Dominican Republic,1969,6.376
Dominican Republic,1970,6.182
Dominican Republic,1971,5.983
Dominican Republic,1972,5.782
Dominican Republic,1973,5.58
Dominican Republic,1974,5.382999999999999
Dominican Republic,1975,5.193
Dominican Republic,1976,5.013999999999999
Dominican Republic,1977,4.848
Dominican Republic,1978,4.6930000000000005
Dominican Republic,1979,4.552
Dominican Republic,1980,4.422
Dominican Republic,1981,4.302
Dominican Republic,1982,4.19
Dominican Republic,1983,4.082
Dominican Republic,1984,3.978
Dominican Republic,1985,3.878
Dominican Republic,1986,3.783
Dominican Republic,1987,3.695
Dominican Republic,1988,3.613
Dominican Republic,1989,3.537
Dominican Republic,1990,3.466
Dominican Republic,1991,3.397
Dominican Republic,1992,3.33
Dominican Republic,1993,3.262
Dominican Republic,1994,3.195
Dominican Republic,1995,3.13
Dominican Republic,1996,3.069
Dominican Republic,1997,3.014
Dominican Republic,1998,2.966
Dominican Republic,1999,2.926
Dominican Republic,2000,2.892
Dominican Republic,2001,2.863
Dominican Republic,2002,2.8360000000000003
Dominican Republic,2003,2.8089999999999997
Dominican Republic,2004,2.781
Dominican Republic,2005,2.7510000000000003
Dominican Republic,2006,2.719
Dominican Republic,2007,2.6860000000000004
Dominican Republic,2008,2.6519999999999997
Dominican Republic,2009,2.6180000000000003
Dominican Republic,2010,2.5839999999999996
Dominican Republic,2011,2.551
Dominican Republic,2012,
Dominican Republic,2013,
