CountryName,Year,FertilityRate
El Salvador,1960,6.728
El Salvador,1961,6.749
El Salvador,1962,6.7520000000000024
El Salvador,1963,6.7360000000000015
El Salvador,1964,6.699
El Salvador,1965,6.643
El Salvador,1966,6.5710000000000015
El Salvador,1967,6.487
El Salvador,1968,6.396
El Salvador,1969,6.3
El Salvador,1970,6.202999999999999
El Salvador,1971,6.106
El Salvador,1972,6.01
El Salvador,1973,5.914
El Salvador,1974,5.817
El Salvador,1975,5.718
El Salvador,1976,5.615
El Salvador,1977,5.506
El Salvador,1978,5.388999999999999
El Salvador,1979,5.266
El Salvador,1980,5.1370000000000005
El Salvador,1981,5.004
El Salvador,1982,4.87
El Salvador,1983,4.738
El Salvador,1984,4.609
El Salvador,1985,4.485
El Salvador,1986,4.367
El Salvador,1987,4.255
El Salvador,1988,4.148
El Salvador,1989,4.047
El Salvador,1990,3.951
El Salvador,1991,3.862
El Salvador,1992,3.7769999999999997
El Salvador,1993,3.695
El Salvador,1994,3.614
El Salvador,1995,3.529
El Salvador,1996,3.432
El Salvador,1997,3.323
El Salvador,1998,3.201
El Salvador,1999,3.07
El Salvador,2000,2.9339999999999997
El Salvador,2001,2.803
El Salvador,2002,2.6830000000000003
El Salvador,2003,2.58
El Salvador,2004,2.496
El Salvador,2005,2.4330000000000003
El Salvador,2006,2.386
El Salvador,2007,2.35
El Salvador,2008,2.319
El Salvador,2009,2.291
El Salvador,2010,2.263
El Salvador,2011,2.2359999999999998
El Salvador,2012,
El Salvador,2013,
