CountryName,Year,FertilityRate
Equatorial Guinea,1960,5.505
Equatorial Guinea,1961,5.515
Equatorial Guinea,1962,5.529
Equatorial Guinea,1963,5.547999999999999
Equatorial Guinea,1964,5.57
Equatorial Guinea,1965,5.595
Equatorial Guinea,1966,5.619
Equatorial Guinea,1967,5.64
Equatorial Guinea,1968,5.6579999999999995
Equatorial Guinea,1969,5.671
Equatorial Guinea,1970,5.678
Equatorial Guinea,1971,5.681
Equatorial Guinea,1972,5.68
Equatorial Guinea,1973,5.6770000000000005
Equatorial Guinea,1974,5.675
Equatorial Guinea,1975,5.6739999999999995
Equatorial Guinea,1976,5.676
Equatorial Guinea,1977,5.682
Equatorial Guinea,1978,5.693
Equatorial Guinea,1979,5.7079999999999975
Equatorial Guinea,1980,5.728
Equatorial Guinea,1981,5.751
Equatorial Guinea,1982,5.776
Equatorial Guinea,1983,5.8020000000000005
Equatorial Guinea,1984,5.8260000000000005
Equatorial Guinea,1985,5.848
Equatorial Guinea,1986,5.8660000000000005
Equatorial Guinea,1987,5.881
Equatorial Guinea,1988,5.891
Equatorial Guinea,1989,5.897
Equatorial Guinea,1990,5.9
Equatorial Guinea,1991,5.901
Equatorial Guinea,1992,5.902
Equatorial Guinea,1993,5.902
Equatorial Guinea,1994,5.901
Equatorial Guinea,1995,5.897
Equatorial Guinea,1996,5.888
Equatorial Guinea,1997,5.872000000000001
Equatorial Guinea,1998,5.847
Equatorial Guinea,1999,5.814
Equatorial Guinea,2000,5.773
Equatorial Guinea,2001,5.727
Equatorial Guinea,2002,5.678
Equatorial Guinea,2003,5.6270000000000024
Equatorial Guinea,2004,5.574
Equatorial Guinea,2005,5.518
Equatorial Guinea,2006,5.4570000000000025
Equatorial Guinea,2007,5.39
Equatorial Guinea,2008,5.314
Equatorial Guinea,2009,5.231
Equatorial Guinea,2010,5.14
Equatorial Guinea,2011,5.044
Equatorial Guinea,2012,
Equatorial Guinea,2013,
