CountryName,Year,FertilityRate
Estonia,1960,1.96
Estonia,1961,1.97
Estonia,1962,1.96
Estonia,1963,1.94
Estonia,1964,1.94
Estonia,1965,1.93
Estonia,1966,1.92
Estonia,1967,1.95
Estonia,1968,2.03
Estonia,1969,2.11
Estonia,1970,2.16
Estonia,1971,2.18
Estonia,1972,2.16
Estonia,1973,2.13
Estonia,1974,2.1
Estonia,1975,2.08
Estonia,1976,2.09
Estonia,1977,2.08
Estonia,1978,2.04
Estonia,1979,2.009
Estonia,1980,2.02
Estonia,1981,2.07
Estonia,1982,2.08
Estonia,1983,2.16
Estonia,1984,2.17
Estonia,1985,2.12
Estonia,1986,2.17
Estonia,1987,2.26
Estonia,1988,2.26
Estonia,1989,2.21
Estonia,1990,2.04
Estonia,1991,1.77
Estonia,1992,1.69
Estonia,1993,1.45
Estonia,1994,1.37
Estonia,1995,1.32
Estonia,1996,1.335
Estonia,1997,1.24
Estonia,1998,1.28
Estonia,1999,1.32
Estonia,2000,1.38
Estonia,2001,1.34
Estonia,2002,1.37
Estonia,2003,1.37
Estonia,2004,1.47
Estonia,2005,1.5
Estonia,2006,1.55
Estonia,2007,1.63
Estonia,2008,1.65
Estonia,2009,1.62
Estonia,2010,1.63
Estonia,2011,1.52
Estonia,2012,
Estonia,2013,
