CountryName,Year,FertilityRate
Faeroe Islands,1960,
Faeroe Islands,1961,
Faeroe Islands,1962,
Faeroe Islands,1963,
Faeroe Islands,1964,
Faeroe Islands,1965,
Faeroe Islands,1966,
Faeroe Islands,1967,
Faeroe Islands,1968,
Faeroe Islands,1969,
Faeroe Islands,1970,
Faeroe Islands,1971,
Faeroe Islands,1972,
Faeroe Islands,1973,
Faeroe Islands,1974,
Faeroe Islands,1975,
Faeroe Islands,1976,
Faeroe Islands,1977,
Faeroe Islands,1978,
Faeroe Islands,1979,
Faeroe Islands,1980,
Faeroe Islands,1981,
Faeroe Islands,1982,
Faeroe Islands,1983,
Faeroe Islands,1984,
Faeroe Islands,1985,
Faeroe Islands,1986,
Faeroe Islands,1987,
Faeroe Islands,1988,
Faeroe Islands,1989,
Faeroe Islands,1990,
Faeroe Islands,1991,
Faeroe Islands,1992,
Faeroe Islands,1993,
Faeroe Islands,1994,
Faeroe Islands,1995,
Faeroe Islands,1996,
Faeroe Islands,1997,
Faeroe Islands,1998,
Faeroe Islands,1999,
Faeroe Islands,2000,
Faeroe Islands,2001,
Faeroe Islands,2002,
Faeroe Islands,2003,
Faeroe Islands,2004,
Faeroe Islands,2005,
Faeroe Islands,2006,
Faeroe Islands,2007,
Faeroe Islands,2008,
Faeroe Islands,2009,
Faeroe Islands,2010,
Faeroe Islands,2011,
Faeroe Islands,2012,
Faeroe Islands,2013,
