CountryName,Year,FertilityRate
Finland,1960,2.714
Finland,1961,2.6889999999999996
Finland,1962,2.637
Finland,1963,2.637
Finland,1964,2.533
Finland,1965,2.398
Finland,1966,2.324
Finland,1967,2.24
Finland,1968,2.068
Finland,1969,1.851
Finland,1970,1.828
Finland,1971,1.703
Finland,1972,1.5930000000000002
Finland,1973,1.504
Finland,1974,1.625
Finland,1975,1.6880000000000002
Finland,1976,1.72
Finland,1977,1.69
Finland,1978,1.652
Finland,1979,1.642
Finland,1980,1.63
Finland,1981,1.65
Finland,1982,1.72
Finland,1983,1.74
Finland,1984,1.7
Finland,1985,1.64
Finland,1986,1.6
Finland,1987,1.59
Finland,1988,1.7
Finland,1989,1.71
Finland,1990,1.78
Finland,1991,1.8
Finland,1992,1.85
Finland,1993,1.81
Finland,1994,1.85
Finland,1995,1.81
Finland,1996,1.76
Finland,1997,1.75
Finland,1998,1.7
Finland,1999,1.73
Finland,2000,1.73
Finland,2001,1.73
Finland,2002,1.72
Finland,2003,1.76
Finland,2004,1.8
Finland,2005,1.8
Finland,2006,1.84
Finland,2007,1.83
Finland,2008,1.85
Finland,2009,1.86
Finland,2010,1.87
Finland,2011,1.83
Finland,2012,
Finland,2013,
