CountryName,Year,FertilityRate
France,1960,2.85
France,1961,2.87
France,1962,2.89
France,1963,2.89
France,1964,2.87
France,1965,2.84
France,1966,2.8
France,1967,2.75
France,1968,2.69
France,1969,2.62
France,1970,2.55
France,1971,2.47
France,1972,2.38
France,1973,2.28
France,1974,2.18
France,1975,2.09
France,1976,2.01
France,1977,1.94
France,1978,1.89
France,1979,1.87
France,1980,1.85
France,1981,1.85
France,1982,1.86
France,1983,1.86
France,1984,1.86
France,1985,1.86
France,1986,1.85
France,1987,1.83
France,1988,1.81
France,1989,1.79
France,1990,1.77
France,1991,1.75
France,1992,1.74
France,1993,1.73
France,1994,1.73
France,1995,1.74
France,1996,1.75
France,1997,1.77
France,1998,1.78
France,1999,1.81
France,2000,1.89
France,2001,1.9
France,2002,1.88
France,2003,1.89
France,2004,1.92
France,2005,1.94
France,2006,2.0
France,2007,1.98
France,2008,2.01
France,2009,2.0
France,2010,2.03
France,2011,2.03
France,2012,
France,2013,
