CountryName,Year,FertilityRate
Georgia,1960,2.964
Georgia,1961,2.965
Georgia,1962,2.95
Georgia,1963,2.915
Georgia,1964,2.864
Georgia,1965,2.801
Georgia,1966,2.737
Georgia,1967,2.68
Georgia,1968,2.637
Georgia,1969,2.609
Georgia,1970,2.595
Georgia,1971,2.588
Georgia,1972,2.5789999999999997
Georgia,1973,2.563
Georgia,1974,2.537
Georgia,1975,2.502
Georgia,1976,2.461
Georgia,1977,2.419
Georgia,1978,2.379
Georgia,1979,2.343
Georgia,1980,2.315
Georgia,1981,2.296
Georgia,1982,2.2840000000000003
Georgia,1983,2.2769999999999997
Georgia,1984,2.275
Georgia,1985,2.273
Georgia,1986,2.269
Georgia,1987,2.26
Georgia,1988,2.2430000000000003
Georgia,1989,2.217
Georgia,1990,2.18
Georgia,1991,2.1319999999999997
Georgia,1992,2.076
Georgia,1993,2.013
Georgia,1994,1.946
Georgia,1995,1.879
Georgia,1996,1.8119999999999998
Georgia,1997,1.749
Georgia,1998,1.692
Georgia,1999,1.643
Georgia,2000,1.609
Georgia,2001,1.5919999999999999
Georgia,2002,1.5930000000000002
Georgia,2003,1.609
Georgia,2004,1.639
Georgia,2005,1.6780000000000002
Georgia,2006,1.719
Georgia,2007,1.758
Georgia,2008,1.788
Georgia,2009,1.8090000000000002
Georgia,2010,1.82
Georgia,2011,1.8219999999999998
Georgia,2012,
Georgia,2013,
