CountryName,Year,FertilityRate
Germany,1960,2.37
Germany,1961,2.45
Germany,1962,2.44
Germany,1963,2.51
Germany,1964,2.54
Germany,1965,2.5
Germany,1966,2.53
Germany,1967,2.48
Germany,1968,2.38
Germany,1969,2.21
Germany,1970,2.03
Germany,1971,1.92
Germany,1972,1.71
Germany,1973,1.54
Germany,1974,1.51
Germany,1975,1.45
Germany,1976,1.45
Germany,1977,1.4
Germany,1978,1.38
Germany,1979,1.38
Germany,1980,1.44
Germany,1981,1.43
Germany,1982,1.41
Germany,1983,1.33
Germany,1984,1.29
Germany,1985,1.37
Germany,1986,1.43
Germany,1987,1.43
Germany,1988,1.46
Germany,1989,1.42
Germany,1990,1.45
Germany,1991,1.33
Germany,1992,1.29
Germany,1993,1.28
Germany,1994,1.24
Germany,1995,1.25
Germany,1996,1.3
Germany,1997,1.35
Germany,1998,1.36
Germany,1999,1.36
Germany,2000,1.38
Germany,2001,1.35
Germany,2002,1.34
Germany,2003,1.34
Germany,2004,1.36
Germany,2005,1.34
Germany,2006,1.33
Germany,2007,1.37
Germany,2008,1.38
Germany,2009,1.36
Germany,2010,1.39
Germany,2011,1.36
Germany,2012,
Germany,2013,
