CountryName,Year,FertilityRate
Greece,1960,2.2769999999999997
Greece,1961,2.189
Greece,1962,2.234
Greece,1963,2.215
Greece,1964,2.312
Greece,1965,2.2969999999999997
Greece,1966,2.376
Greece,1967,2.549
Greece,1968,2.559
Greece,1969,2.48
Greece,1970,2.3369999999999997
Greece,1971,2.295
Greece,1972,2.315
Greece,1973,2.28
Greece,1974,2.39
Greece,1975,2.365
Greece,1976,2.385
Greece,1977,2.266
Greece,1978,2.274
Greece,1979,2.261
Greece,1980,2.226
Greece,1981,2.0909999999999997
Greece,1982,2.024
Greece,1983,1.94
Greece,1984,1.8230000000000002
Greece,1985,1.6769999999999998
Greece,1986,1.615
Greece,1987,1.5
Greece,1988,1.5
Greece,1989,1.41
Greece,1990,1.4
Greece,1991,1.38
Greece,1992,1.38
Greece,1993,1.34
Greece,1994,1.36
Greece,1995,1.32
Greece,1996,1.3
Greece,1997,1.31
Greece,1998,1.26
Greece,1999,1.24
Greece,2000,1.26
Greece,2001,1.25
Greece,2002,1.27
Greece,2003,1.28
Greece,2004,1.3
Greece,2005,1.33
Greece,2006,1.4
Greece,2007,1.41
Greece,2008,1.51
Greece,2009,1.52
Greece,2010,1.51
Greece,2011,1.43
Greece,2012,
Greece,2013,
