CountryName,Year,FertilityRate
Grenada,1960,6.742999999999999
Grenada,1961,6.6270000000000024
Grenada,1962,6.442
Grenada,1963,6.1960000000000015
Grenada,1964,5.9060000000000015
Grenada,1965,5.597
Grenada,1966,5.3
Grenada,1967,5.04
Grenada,1968,4.835
Grenada,1969,4.69
Grenada,1970,4.604
Grenada,1971,4.561
Grenada,1972,4.537
Grenada,1973,4.512
Grenada,1974,4.479
Grenada,1975,4.436
Grenada,1976,4.385
Grenada,1977,4.337
Grenada,1978,4.2989999999999995
Grenada,1979,4.269
Grenada,1980,4.251
Grenada,1981,4.244
Grenada,1982,4.243
Grenada,1983,4.245
Grenada,1984,4.243
Grenada,1985,4.231
Grenada,1986,4.2
Grenada,1987,4.146
Grenada,1988,4.0680000000000005
Grenada,1989,3.966
Grenada,1990,3.842
Grenada,1991,3.701
Grenada,1992,3.551
Grenada,1993,3.4010000000000002
Grenada,1994,3.2539999999999996
Grenada,1995,3.116
Grenada,1996,2.988
Grenada,1997,2.87
Grenada,1998,2.762
Grenada,1999,2.6660000000000004
Grenada,2000,2.582
Grenada,2001,2.512
Grenada,2002,2.455
Grenada,2003,2.4090000000000003
Grenada,2004,2.373
Grenada,2005,2.344
Grenada,2006,2.3209999999999997
Grenada,2007,2.301
Grenada,2008,2.282
Grenada,2009,2.262
Grenada,2010,2.24
Grenada,2011,2.217
Grenada,2012,
Grenada,2013,
