CountryName,Year,FertilityRate
Guam,1960,6.0520000000000005
Guam,1961,6.047999999999999
Guam,1962,5.984
Guam,1963,5.857
Guam,1964,5.67
Guam,1965,5.439
Guam,1966,5.187
Guam,1967,4.939
Guam,1968,4.716
Guam,1969,4.526
Guam,1970,4.372
Guam,1971,4.248
Guam,1972,4.137
Guam,1973,4.0280000000000005
Guam,1974,3.917
Guam,1975,3.801
Guam,1976,3.681
Guam,1977,3.5610000000000004
Guam,1978,3.447
Guam,1979,3.34
Guam,1980,3.248
Guam,1981,3.177
Guam,1982,3.128
Guam,1983,3.1
Guam,1984,3.092
Guam,1985,3.095
Guam,1986,3.0989999999999998
Guam,1987,3.097
Guam,1988,3.082
Guam,1989,3.053
Guam,1990,3.013
Guam,1991,2.969
Guam,1992,2.929
Guam,1993,2.8989999999999996
Guam,1994,2.8810000000000002
Guam,1995,2.872
Guam,1996,2.87
Guam,1997,2.867
Guam,1998,2.86
Guam,1999,2.846
Guam,2000,2.824
Guam,2001,2.7939999999999996
Guam,2002,2.759
Guam,2003,2.72
Guam,2004,2.679
Guam,2005,2.638
Guam,2006,2.5989999999999998
Guam,2007,2.562
Guam,2008,2.529
Guam,2009,2.499
Guam,2010,2.472
Guam,2011,2.448
Guam,2012,
Guam,2013,
