CountryName,Year,FertilityRate
Guyana,1960,5.671
Guyana,1961,5.577999999999999
Guyana,1962,5.485
Guyana,1963,5.401
Guyana,1964,5.329
Guyana,1965,5.272
Guyana,1966,5.228
Guyana,1967,5.19
Guyana,1968,5.152
Guyana,1969,5.112
Guyana,1970,5.0680000000000005
Guyana,1971,5.022
Guyana,1972,4.974
Guyana,1973,4.919
Guyana,1974,4.852
Guyana,1975,4.758
Guyana,1976,4.621
Guyana,1977,4.435
Guyana,1978,4.204
Guyana,1979,3.935
Guyana,1980,3.6460000000000004
Guyana,1981,3.36
Guyana,1982,3.0989999999999998
Guyana,1983,2.8810000000000002
Guyana,1984,2.714
Guyana,1985,2.6
Guyana,1986,2.5340000000000003
Guyana,1987,2.499
Guyana,1988,2.48
Guyana,1989,2.471
Guyana,1990,2.467
Guyana,1991,2.465
Guyana,1992,2.467
Guyana,1993,2.4730000000000003
Guyana,1994,2.4819999999999998
Guyana,1995,2.4930000000000003
Guyana,1996,2.505
Guyana,1997,2.521
Guyana,1998,2.54
Guyana,1999,2.5610000000000004
Guyana,2000,2.585
Guyana,2001,2.614
Guyana,2002,2.645
Guyana,2003,2.678
Guyana,2004,2.7089999999999996
Guyana,2005,2.735
Guyana,2006,2.7510000000000003
Guyana,2007,2.7539999999999996
Guyana,2008,2.7430000000000003
Guyana,2009,2.718
Guyana,2010,2.682
Guyana,2011,2.638
Guyana,2012,
Guyana,2013,
