CountryName,Year,FertilityRate
"Hong Kong SAR, China",1960,5.162000000000001
"Hong Kong SAR, China",1961,5.212999999999999
"Hong Kong SAR, China",1962,5.18
"Hong Kong SAR, China",1963,5.051
"Hong Kong SAR, China",1964,4.833
"Hong Kong SAR, China",1965,4.551
"Hong Kong SAR, China",1966,4.246
"Hong Kong SAR, China",1967,3.9589999999999996
"Hong Kong SAR, China",1968,3.722
"Hong Kong SAR, China",1969,3.545
"Hong Kong SAR, China",1970,3.4210000000000003
"Hong Kong SAR, China",1971,3.4589999999999996
"Hong Kong SAR, China",1972,3.315
"Hong Kong SAR, China",1973,3.177
"Hong Kong SAR, China",1974,2.967
"Hong Kong SAR, China",1975,2.6660000000000004
"Hong Kong SAR, China",1976,2.48
"Hong Kong SAR, China",1977,2.376
"Hong Kong SAR, China",1978,2.272
"Hong Kong SAR, China",1979,2.12
"Hong Kong SAR, China",1980,2.0469999999999997
"Hong Kong SAR, China",1981,1.933
"Hong Kong SAR, China",1982,1.86
"Hong Kong SAR, China",1983,1.722
"Hong Kong SAR, China",1984,1.5590000000000002
"Hong Kong SAR, China",1985,1.4909999999999999
"Hong Kong SAR, China",1986,1.367
"Hong Kong SAR, China",1987,1.311
"Hong Kong SAR, China",1988,1.4
"Hong Kong SAR, China",1989,1.296
"Hong Kong SAR, China",1990,1.272
"Hong Kong SAR, China",1991,1.281
"Hong Kong SAR, China",1992,1.347
"Hong Kong SAR, China",1993,1.3419999999999999
"Hong Kong SAR, China",1994,1.355
"Hong Kong SAR, China",1995,1.295
"Hong Kong SAR, China",1996,1.1909999999999998
"Hong Kong SAR, China",1997,1.127
"Hong Kong SAR, China",1998,1.0170000000000001
"Hong Kong SAR, China",1999,0.982
"Hong Kong SAR, China",2000,1.035
"Hong Kong SAR, China",2001,0.932
"Hong Kong SAR, China",2002,0.9390000000000001
"Hong Kong SAR, China",2003,0.9009999999999999
"Hong Kong SAR, China",2004,0.927
"Hong Kong SAR, China",2005,0.966
"Hong Kong SAR, China",2006,0.9840000000000001
"Hong Kong SAR, China",2007,1.028
"Hong Kong SAR, China",2008,1.064
"Hong Kong SAR, China",2009,1.055
"Hong Kong SAR, China",2010,1.127
"Hong Kong SAR, China",2011,1.204
"Hong Kong SAR, China",2012,
"Hong Kong SAR, China",2013,
