CountryName,Year,FertilityRate
Iceland,1960,4.294
Iceland,1961,3.884
Iceland,1962,3.983
Iceland,1963,3.98
Iceland,1964,3.858
Iceland,1965,3.713
Iceland,1966,3.5780000000000003
Iceland,1967,3.282
Iceland,1968,3.0610000000000004
Iceland,1969,2.988
Iceland,1970,2.793
Iceland,1971,2.875
Iceland,1972,3.088
Iceland,1973,2.948
Iceland,1974,2.66
Iceland,1975,2.613
Iceland,1976,2.529
Iceland,1977,2.319
Iceland,1978,2.355
Iceland,1979,2.49
Iceland,1980,2.48
Iceland,1981,2.33
Iceland,1982,2.26
Iceland,1983,2.24
Iceland,1984,2.08
Iceland,1985,1.93
Iceland,1986,1.93
Iceland,1987,2.05
Iceland,1988,2.2
Iceland,1989,2.2
Iceland,1990,2.31
Iceland,1991,2.19
Iceland,1992,2.21
Iceland,1993,2.22
Iceland,1994,2.14
Iceland,1995,2.08
Iceland,1996,2.12
Iceland,1997,2.04
Iceland,1998,2.05
Iceland,1999,1.99
Iceland,2000,2.08
Iceland,2001,1.95
Iceland,2002,1.93
Iceland,2003,1.99
Iceland,2004,2.04
Iceland,2005,2.05
Iceland,2006,2.08
Iceland,2007,2.09
Iceland,2008,2.15
Iceland,2009,2.23
Iceland,2010,2.2
Iceland,2011,2.02
Iceland,2012,
Iceland,2013,
