CountryName,Year,FertilityRate
"Iran, Islamic Rep.",1960,6.9270000000000005
"Iran, Islamic Rep.",1961,6.9239999999999995
"Iran, Islamic Rep.",1962,6.914
"Iran, Islamic Rep.",1963,6.896
"Iran, Islamic Rep.",1964,6.867999999999999
"Iran, Islamic Rep.",1965,6.827000000000001
"Iran, Islamic Rep.",1966,6.77
"Iran, Islamic Rep.",1967,6.699
"Iran, Islamic Rep.",1968,6.617000000000001
"Iran, Islamic Rep.",1969,6.528
"Iran, Islamic Rep.",1970,6.44
"Iran, Islamic Rep.",1971,6.359
"Iran, Islamic Rep.",1972,6.2920000000000025
"Iran, Islamic Rep.",1973,6.242999999999999
"Iran, Islamic Rep.",1974,6.2139999999999995
"Iran, Islamic Rep.",1975,6.2120000000000015
"Iran, Islamic Rep.",1976,6.2379999999999995
"Iran, Islamic Rep.",1977,6.289
"Iran, Islamic Rep.",1978,6.354
"Iran, Islamic Rep.",1979,6.4220000000000015
"Iran, Islamic Rep.",1980,6.481
"Iran, Islamic Rep.",1981,6.516
"Iran, Islamic Rep.",1982,6.515
"Iran, Islamic Rep.",1983,6.47
"Iran, Islamic Rep.",1984,6.374
"Iran, Islamic Rep.",1985,6.223
"Iran, Islamic Rep.",1986,6.015
"Iran, Islamic Rep.",1987,5.7589999999999995
"Iran, Islamic Rep.",1988,5.468
"Iran, Islamic Rep.",1989,5.152
"Iran, Islamic Rep.",1990,4.819
"Iran, Islamic Rep.",1991,4.478
"Iran, Islamic Rep.",1992,4.137
"Iran, Islamic Rep.",1993,3.806
"Iran, Islamic Rep.",1994,3.492
"Iran, Islamic Rep.",1995,3.2039999999999997
"Iran, Islamic Rep.",1996,2.946
"Iran, Islamic Rep.",1997,2.716
"Iran, Islamic Rep.",1998,2.512
"Iran, Islamic Rep.",1999,2.3369999999999997
"Iran, Islamic Rep.",2000,2.193
"Iran, Islamic Rep.",2001,2.079
"Iran, Islamic Rep.",2002,1.994
"Iran, Islamic Rep.",2003,1.9340000000000002
"Iran, Islamic Rep.",2004,1.895
"Iran, Islamic Rep.",2005,1.8730000000000002
"Iran, Islamic Rep.",2006,1.8659999999999999
"Iran, Islamic Rep.",2007,1.87
"Iran, Islamic Rep.",2008,1.88
"Iran, Islamic Rep.",2009,1.893
"Iran, Islamic Rep.",2010,1.9040000000000001
"Iran, Islamic Rep.",2011,1.912
"Iran, Islamic Rep.",2012,
"Iran, Islamic Rep.",2013,
