CountryName,Year,FertilityRate
Ireland,1960,3.76
Ireland,1961,3.7910000000000004
Ireland,1962,3.9210000000000003
Ireland,1963,4.01
Ireland,1964,4.065
Ireland,1965,4.0310000000000015
Ireland,1966,3.9539999999999997
Ireland,1967,3.842
Ireland,1968,3.778
Ireland,1969,3.845
Ireland,1970,3.93
Ireland,1971,3.975
Ireland,1972,3.8739999999999997
Ireland,1973,3.74
Ireland,1974,3.617
Ireland,1975,3.3960000000000004
Ireland,1976,3.312
Ireland,1977,3.2689999999999997
Ireland,1978,3.24
Ireland,1979,3.2289999999999996
Ireland,1980,3.2289999999999996
Ireland,1981,3.07
Ireland,1982,2.957
Ireland,1983,2.759
Ireland,1984,2.589
Ireland,1985,2.5
Ireland,1986,2.45
Ireland,1987,2.31
Ireland,1988,2.17
Ireland,1989,2.08
Ireland,1990,2.12
Ireland,1991,2.09
Ireland,1992,2.02
Ireland,1993,1.93
Ireland,1994,1.86
Ireland,1995,1.87
Ireland,1996,1.91
Ireland,1997,1.92
Ireland,1998,1.94
Ireland,1999,1.9
Ireland,2000,1.89
Ireland,2001,1.94
Ireland,2002,1.97
Ireland,2003,1.96
Ireland,2004,1.94
Ireland,2005,1.87
Ireland,2006,1.93
Ireland,2007,2.01
Ireland,2008,2.1
Ireland,2009,2.07
Ireland,2010,2.07
Ireland,2011,2.05
Ireland,2012,
Ireland,2013,
