CountryName,Year,FertilityRate
Israel,1960,3.866
Israel,1961,3.858
Israel,1962,3.85
Israel,1963,3.838
Israel,1964,3.826
Israel,1965,3.8139999999999996
Israel,1966,3.802
Israel,1967,3.79
Israel,1968,3.786
Israel,1969,3.782
Israel,1970,3.778
Israel,1971,3.7739999999999996
Israel,1972,3.77
Israel,1973,3.698
Israel,1974,3.6260000000000003
Israel,1975,3.554
Israel,1976,3.4819999999999998
Israel,1977,3.41
Israel,1978,3.3539999999999996
Israel,1979,3.298
Israel,1980,3.242
Israel,1981,3.1860000000000004
Israel,1982,3.13
Israel,1983,3.1060000000000003
Israel,1984,3.082
Israel,1985,3.0580000000000003
Israel,1986,3.034
Israel,1987,3.01
Israel,1988,2.948
Israel,1989,2.886
Israel,1990,2.824
Israel,1991,2.762
Israel,1992,2.7
Israel,1993,2.8
Israel,1994,2.9
Israel,1995,2.9
Israel,1996,2.9
Israel,1997,2.94
Israel,1998,2.98
Israel,1999,2.965
Israel,2000,2.95
Israel,2001,2.92
Israel,2002,2.89
Israel,2003,2.95
Israel,2004,2.9
Israel,2005,2.84
Israel,2006,2.88
Israel,2007,2.9
Israel,2008,2.96
Israel,2009,2.96
Israel,2010,3.03
Israel,2011,3.0
Israel,2012,
Israel,2013,
