CountryName,Year,FertilityRate
Japan,1960,2.001
Japan,1961,2.05
Japan,1962,2.01
Japan,1963,2.02
Japan,1964,2.05
Japan,1965,2.1390000000000002
Japan,1966,1.58
Japan,1967,2.02
Japan,1968,2.13
Japan,1969,2.13
Japan,1970,2.135
Japan,1971,2.16
Japan,1972,2.14
Japan,1973,2.14
Japan,1974,2.05
Japan,1975,1.909
Japan,1976,1.85
Japan,1977,1.8
Japan,1978,1.79
Japan,1979,1.77
Japan,1980,1.75
Japan,1981,1.74
Japan,1982,1.77
Japan,1983,1.8
Japan,1984,1.81
Japan,1985,1.76
Japan,1986,1.72
Japan,1987,1.69
Japan,1988,1.66
Japan,1989,1.57
Japan,1990,1.54
Japan,1991,1.53
Japan,1992,1.5019999999999998
Japan,1993,1.4580000000000002
Japan,1994,1.5
Japan,1995,1.422
Japan,1996,1.425
Japan,1997,1.3880000000000001
Japan,1998,1.3840000000000001
Japan,1999,1.3419999999999999
Japan,2000,1.359
Japan,2001,1.33
Japan,2002,1.32
Japan,2003,1.29
Japan,2004,1.29
Japan,2005,1.26
Japan,2006,1.32
Japan,2007,1.34
Japan,2008,1.37
Japan,2009,1.37
Japan,2010,1.39
Japan,2011,1.39
Japan,2012,
Japan,2013,
