CountryName,Year,FertilityRate
Kazakhstan,1960,4.563
Kazakhstan,1961,4.513999999999999
Kazakhstan,1962,4.437
Kazakhstan,1963,4.331
Kazakhstan,1964,4.2010000000000005
Kazakhstan,1965,4.059
Kazakhstan,1966,3.918
Kazakhstan,1967,3.79
Kazakhstan,1968,3.6830000000000003
Kazakhstan,1969,3.6
Kazakhstan,1970,3.5380000000000003
Kazakhstan,1971,3.489
Kazakhstan,1972,3.44
Kazakhstan,1973,3.385
Kazakhstan,1974,3.32
Kazakhstan,1975,3.2489999999999997
Kazakhstan,1976,3.175
Kazakhstan,1977,3.1060000000000003
Kazakhstan,1978,3.048
Kazakhstan,1979,3.0189999999999997
Kazakhstan,1980,2.9
Kazakhstan,1981,2.95
Kazakhstan,1982,3.0
Kazakhstan,1983,3.04
Kazakhstan,1984,3.08
Kazakhstan,1985,3.08
Kazakhstan,1986,3.135
Kazakhstan,1987,3.19
Kazakhstan,1988,3.13
Kazakhstan,1989,2.82
Kazakhstan,1990,2.72
Kazakhstan,1991,2.61
Kazakhstan,1992,2.5
Kazakhstan,1993,2.3
Kazakhstan,1994,2.28
Kazakhstan,1995,2.26
Kazakhstan,1996,2.13
Kazakhstan,1997,2.0
Kazakhstan,1998,1.8
Kazakhstan,1999,1.7
Kazakhstan,2000,1.8
Kazakhstan,2001,1.9
Kazakhstan,2002,2.0
Kazakhstan,2003,2.03
Kazakhstan,2004,2.21
Kazakhstan,2005,2.22
Kazakhstan,2006,2.36
Kazakhstan,2007,2.5
Kazakhstan,2008,2.7
Kazakhstan,2009,2.6
Kazakhstan,2010,2.59
Kazakhstan,2011,2.59
Kazakhstan,2012,
Kazakhstan,2013,
