CountryName,Year,FertilityRate
"Korea, Dem. Rep.",1960,4.579
"Korea, Dem. Rep.",1961,4.357
"Korea, Dem. Rep.",1962,4.173
"Korea, Dem. Rep.",1963,4.0569999999999995
"Korea, Dem. Rep.",1964,4.022
"Korea, Dem. Rep.",1965,4.064
"Korea, Dem. Rep.",1966,4.159
"Korea, Dem. Rep.",1967,4.262
"Korea, Dem. Rep.",1968,4.336
"Korea, Dem. Rep.",1969,4.364
"Korea, Dem. Rep.",1970,4.327
"Korea, Dem. Rep.",1971,4.2139999999999995
"Korea, Dem. Rep.",1972,4.038
"Korea, Dem. Rep.",1973,3.8160000000000003
"Korea, Dem. Rep.",1974,3.5639999999999996
"Korea, Dem. Rep.",1975,3.307
"Korea, Dem. Rep.",1976,3.075
"Korea, Dem. Rep.",1977,2.889
"Korea, Dem. Rep.",1978,2.761
"Korea, Dem. Rep.",1979,2.693
"Korea, Dem. Rep.",1980,2.676
"Korea, Dem. Rep.",1981,2.687
"Korea, Dem. Rep.",1982,2.698
"Korea, Dem. Rep.",1983,2.69
"Korea, Dem. Rep.",1984,2.654
"Korea, Dem. Rep.",1985,2.593
"Korea, Dem. Rep.",1986,2.515
"Korea, Dem. Rep.",1987,2.438
"Korea, Dem. Rep.",1988,2.374
"Korea, Dem. Rep.",1989,2.325
"Korea, Dem. Rep.",1990,2.289
"Korea, Dem. Rep.",1991,2.262
"Korea, Dem. Rep.",1992,2.235
"Korea, Dem. Rep.",1993,2.202
"Korea, Dem. Rep.",1994,2.1630000000000003
"Korea, Dem. Rep.",1995,2.121
"Korea, Dem. Rep.",1996,2.079
"Korea, Dem. Rep.",1997,2.042
"Korea, Dem. Rep.",1998,2.015
"Korea, Dem. Rep.",1999,1.999
"Korea, Dem. Rep.",2000,1.9909999999999999
"Korea, Dem. Rep.",2001,1.992
"Korea, Dem. Rep.",2002,1.996
"Korea, Dem. Rep.",2003,2.0
"Korea, Dem. Rep.",2004,2.004
"Korea, Dem. Rep.",2005,2.005
"Korea, Dem. Rep.",2006,2.006
"Korea, Dem. Rep.",2007,2.005
"Korea, Dem. Rep.",2008,2.005
"Korea, Dem. Rep.",2009,2.004
"Korea, Dem. Rep.",2010,2.003
"Korea, Dem. Rep.",2011,2.0
"Korea, Dem. Rep.",2012,
"Korea, Dem. Rep.",2013,
