CountryName,Year,FertilityRate
"Korea, Rep.",1960,6.155
"Korea, Rep.",1961,5.989
"Korea, Rep.",1962,5.789
"Korea, Rep.",1963,5.574
"Korea, Rep.",1964,5.357
"Korea, Rep.",1965,5.157
"Korea, Rep.",1966,4.987
"Korea, Rep.",1967,4.845
"Korea, Rep.",1968,4.725
"Korea, Rep.",1969,4.624
"Korea, Rep.",1970,4.53
"Korea, Rep.",1971,4.54
"Korea, Rep.",1972,4.14
"Korea, Rep.",1973,4.1
"Korea, Rep.",1974,3.81
"Korea, Rep.",1975,3.47
"Korea, Rep.",1976,3.05
"Korea, Rep.",1977,3.02
"Korea, Rep.",1978,2.65
"Korea, Rep.",1979,2.9
"Korea, Rep.",1980,2.83
"Korea, Rep.",1981,2.66
"Korea, Rep.",1982,2.42
"Korea, Rep.",1983,2.08
"Korea, Rep.",1984,1.96
"Korea, Rep.",1985,1.67
"Korea, Rep.",1986,1.6
"Korea, Rep.",1987,1.55
"Korea, Rep.",1988,1.56
"Korea, Rep.",1989,1.58
"Korea, Rep.",1990,1.59
"Korea, Rep.",1991,1.74
"Korea, Rep.",1992,1.78
"Korea, Rep.",1993,1.67
"Korea, Rep.",1994,1.67
"Korea, Rep.",1995,1.65
"Korea, Rep.",1996,1.58
"Korea, Rep.",1997,1.54
"Korea, Rep.",1998,1.47
"Korea, Rep.",1999,1.42
"Korea, Rep.",2000,1.47
"Korea, Rep.",2001,1.3
"Korea, Rep.",2002,1.17
"Korea, Rep.",2003,1.19
"Korea, Rep.",2004,1.16
"Korea, Rep.",2005,1.0759999999999998
"Korea, Rep.",2006,1.123
"Korea, Rep.",2007,1.25
"Korea, Rep.",2008,1.192
"Korea, Rep.",2009,1.149
"Korea, Rep.",2010,1.226
"Korea, Rep.",2011,1.244
"Korea, Rep.",2012,
"Korea, Rep.",2013,
