CountryName,Year,FertilityRate
Kosovo,1960,
Kosovo,1961,
Kosovo,1962,
Kosovo,1963,
Kosovo,1964,
Kosovo,1965,
Kosovo,1966,
Kosovo,1967,
Kosovo,1968,
Kosovo,1969,
Kosovo,1970,
Kosovo,1971,
Kosovo,1972,
Kosovo,1973,
Kosovo,1974,
Kosovo,1975,
Kosovo,1976,
Kosovo,1977,
Kosovo,1978,
Kosovo,1979,
Kosovo,1980,
Kosovo,1981,4.5760000000000005
Kosovo,1982,4.8839999999999995
Kosovo,1983,4.476
Kosovo,1984,4.82
Kosovo,1985,4.564
Kosovo,1986,4.466
Kosovo,1987,4.43
Kosovo,1988,4.263
Kosovo,1989,3.9219999999999997
Kosovo,1990,3.903
Kosovo,1991,3.5839999999999996
Kosovo,1992,2.958
Kosovo,1993,2.84
Kosovo,1994,2.7060000000000004
Kosovo,1995,2.701
Kosovo,1996,2.698
Kosovo,1997,2.457
Kosovo,1998,2.568
Kosovo,1999,2.878
Kosovo,2000,2.9539999999999997
Kosovo,2001,2.799
Kosovo,2002,2.6639999999999997
Kosovo,2003,2.343
Kosovo,2004,2.533
Kosovo,2005,2.647
Kosovo,2006,2.425
Kosovo,2007,2.431
Kosovo,2008,2.384
Kosovo,2009,2.3369999999999997
Kosovo,2010,2.289
Kosovo,2011,2.2
Kosovo,2012,
Kosovo,2013,
