CountryName,Year,FertilityRate
Kuwait,1960,7.251
Kuwait,1961,7.279
Kuwait,1962,7.312
Kuwait,1963,7.348
Kuwait,1964,7.381
Kuwait,1965,7.407
Kuwait,1966,7.419
Kuwait,1967,7.4129999999999985
Kuwait,1968,7.382999999999999
Kuwait,1969,7.327000000000001
Kuwait,1970,7.2410000000000005
Kuwait,1971,7.124
Kuwait,1972,6.978
Kuwait,1973,6.809
Kuwait,1974,6.622000000000001
Kuwait,1975,6.4270000000000005
Kuwait,1976,6.234
Kuwait,1977,6.05
Kuwait,1978,5.874
Kuwait,1979,5.702999999999999
Kuwait,1980,5.524
Kuwait,1981,5.319
Kuwait,1982,5.075
Kuwait,1983,4.7860000000000005
Kuwait,1984,4.456
Kuwait,1985,4.092
Kuwait,1986,3.7039999999999997
Kuwait,1987,3.313
Kuwait,1988,2.944
Kuwait,1989,2.615
Kuwait,1990,2.358
Kuwait,1991,2.2
Kuwait,1992,2.144
Kuwait,1993,2.182
Kuwait,1994,2.3
Kuwait,1995,2.467
Kuwait,1996,2.642
Kuwait,1997,2.7880000000000003
Kuwait,1998,2.878
Kuwait,1999,2.903
Kuwait,2000,2.8689999999999998
Kuwait,2001,2.7960000000000003
Kuwait,2002,2.718
Kuwait,2003,2.66
Kuwait,2004,2.63
Kuwait,2005,2.628
Kuwait,2006,2.645
Kuwait,2007,2.667
Kuwait,2008,2.681
Kuwait,2009,2.6830000000000003
Kuwait,2010,2.673
Kuwait,2011,2.6519999999999997
Kuwait,2012,
Kuwait,2013,
