CountryName,Year,FertilityRate
Kyrgyz Republic,1960,5.166
Kyrgyz Republic,1961,5.255
Kyrgyz Republic,1962,5.314
Kyrgyz Republic,1963,5.335
Kyrgyz Republic,1964,5.317
Kyrgyz Republic,1965,5.266
Kyrgyz Republic,1966,5.193
Kyrgyz Republic,1967,5.112
Kyrgyz Republic,1968,5.034
Kyrgyz Republic,1969,4.961
Kyrgyz Republic,1970,4.8919999999999995
Kyrgyz Republic,1971,4.815
Kyrgyz Republic,1972,4.724
Kyrgyz Republic,1973,4.615
Kyrgyz Republic,1974,4.492
Kyrgyz Republic,1975,4.365
Kyrgyz Republic,1976,4.247
Kyrgyz Republic,1977,4.15
Kyrgyz Republic,1978,4.082
Kyrgyz Republic,1979,4.044
Kyrgyz Republic,1980,4.035
Kyrgyz Republic,1981,4.046
Kyrgyz Republic,1982,4.0680000000000005
Kyrgyz Republic,1983,4.086
Kyrgyz Republic,1984,4.0969999999999995
Kyrgyz Republic,1985,4.093
Kyrgyz Republic,1986,4.073
Kyrgyz Republic,1987,4.039
Kyrgyz Republic,1988,3.992
Kyrgyz Republic,1989,3.875
Kyrgyz Republic,1990,3.69
Kyrgyz Republic,1991,3.6710000000000003
Kyrgyz Republic,1992,3.617
Kyrgyz Republic,1993,3.3
Kyrgyz Republic,1994,3.14
Kyrgyz Republic,1995,3.31
Kyrgyz Republic,1996,2.99
Kyrgyz Republic,1997,2.79
Kyrgyz Republic,1998,2.648
Kyrgyz Republic,1999,2.6289999999999996
Kyrgyz Republic,2000,2.4
Kyrgyz Republic,2001,2.4
Kyrgyz Republic,2002,2.5
Kyrgyz Republic,2003,2.5
Kyrgyz Republic,2004,2.6
Kyrgyz Republic,2005,2.5
Kyrgyz Republic,2006,2.7
Kyrgyz Republic,2007,2.8
Kyrgyz Republic,2008,2.8
Kyrgyz Republic,2009,2.9
Kyrgyz Republic,2010,3.06
Kyrgyz Republic,2011,3.06
Kyrgyz Republic,2012,
Kyrgyz Republic,2013,
