CountryName,Year,FertilityRate
Lao PDR,1960,5.961
Lao PDR,1961,5.9639999999999995
Lao PDR,1962,5.966
Lao PDR,1963,5.968999999999999
Lao PDR,1964,5.971
Lao PDR,1965,5.973
Lao PDR,1966,5.974
Lao PDR,1967,5.973
Lao PDR,1968,5.973
Lao PDR,1969,5.972
Lao PDR,1970,5.974
Lao PDR,1971,5.979
Lao PDR,1972,5.99
Lao PDR,1973,6.006
Lao PDR,1974,6.029
Lao PDR,1975,6.059
Lao PDR,1976,6.096
Lao PDR,1977,6.138999999999999
Lao PDR,1978,6.186
Lao PDR,1979,6.233
Lao PDR,1980,6.277
Lao PDR,1981,6.315
Lao PDR,1982,6.345
Lao PDR,1983,6.3629999999999995
Lao PDR,1984,6.369
Lao PDR,1985,6.3610000000000015
Lao PDR,1986,6.3420000000000005
Lao PDR,1987,6.313
Lao PDR,1988,6.274
Lao PDR,1989,6.222
Lao PDR,1990,6.152
Lao PDR,1991,6.057
Lao PDR,1992,5.934
Lao PDR,1993,5.782
Lao PDR,1994,5.603
Lao PDR,1995,5.398
Lao PDR,1996,5.167999999999998
Lao PDR,1997,4.922
Lao PDR,1998,4.669
Lao PDR,1999,4.42
Lao PDR,2000,4.19
Lao PDR,2001,3.991
Lao PDR,2002,3.8289999999999997
Lao PDR,2003,3.7060000000000004
Lao PDR,2004,3.6189999999999998
Lao PDR,2005,3.562
Lao PDR,2006,3.52
Lao PDR,2007,3.4810000000000003
Lao PDR,2008,3.432
Lao PDR,2009,3.3680000000000003
Lao PDR,2010,3.29
Lao PDR,2011,3.2
Lao PDR,2012,
Lao PDR,2013,
