CountryName,Year,FertilityRate
Latin America & Caribbean (all income levels),1960,5.98
Latin America & Caribbean (all income levels),1961,5.977
Latin America & Caribbean (all income levels),1962,5.959
Latin America & Caribbean (all income levels),1963,5.921
Latin America & Caribbean (all income levels),1964,5.8660000000000005
Latin America & Caribbean (all income levels),1965,5.7920000000000025
Latin America & Caribbean (all income levels),1966,5.704
Latin America & Caribbean (all income levels),1967,5.608
Latin America & Caribbean (all income levels),1968,5.5070000000000014
Latin America & Caribbean (all income levels),1969,5.405
Latin America & Caribbean (all income levels),1970,5.301
Latin America & Caribbean (all income levels),1971,5.197
Latin America & Caribbean (all income levels),1972,5.091
Latin America & Caribbean (all income levels),1973,4.982
Latin America & Caribbean (all income levels),1974,4.871
Latin America & Caribbean (all income levels),1975,4.7589999999999995
Latin America & Caribbean (all income levels),1976,4.646
Latin America & Caribbean (all income levels),1977,4.533
Latin America & Caribbean (all income levels),1978,4.419
Latin America & Caribbean (all income levels),1979,4.3069999999999995
Latin America & Caribbean (all income levels),1980,4.1960000000000015
Latin America & Caribbean (all income levels),1981,4.087
Latin America & Caribbean (all income levels),1982,3.978
Latin America & Caribbean (all income levels),1983,3.8710000000000004
Latin America & Caribbean (all income levels),1984,3.766
Latin America & Caribbean (all income levels),1985,3.6639999999999997
Latin America & Caribbean (all income levels),1986,3.5639999999999996
Latin America & Caribbean (all income levels),1987,3.469
Latin America & Caribbean (all income levels),1988,3.377
Latin America & Caribbean (all income levels),1989,3.2910000000000004
Latin America & Caribbean (all income levels),1990,3.2089999999999996
Latin America & Caribbean (all income levels),1991,3.134
Latin America & Caribbean (all income levels),1992,3.065
Latin America & Caribbean (all income levels),1993,3.0
Latin America & Caribbean (all income levels),1994,2.9410000000000003
Latin America & Caribbean (all income levels),1995,2.886
Latin America & Caribbean (all income levels),1996,2.833
Latin America & Caribbean (all income levels),1997,2.785
Latin America & Caribbean (all income levels),1998,2.738
Latin America & Caribbean (all income levels),1999,2.6919999999999997
Latin America & Caribbean (all income levels),2000,2.6460000000000004
Latin America & Caribbean (all income levels),2001,2.597
Latin America & Caribbean (all income levels),2002,2.549
Latin America & Caribbean (all income levels),2003,2.5
Latin America & Caribbean (all income levels),2004,2.452
Latin America & Caribbean (all income levels),2005,2.405
Latin America & Caribbean (all income levels),2006,2.3609999999999998
Latin America & Caribbean (all income levels),2007,2.32
Latin America & Caribbean (all income levels),2008,2.285
Latin America & Caribbean (all income levels),2009,2.254
Latin America & Caribbean (all income levels),2010,2.228
Latin America & Caribbean (all income levels),2011,2.205
Latin America & Caribbean (all income levels),2012,
Latin America & Caribbean (all income levels),2013,
