CountryName,Year,FertilityRate
Latvia,1960,1.94
Latvia,1961,1.94
Latvia,1962,1.91
Latvia,1963,1.85
Latvia,1964,1.79
Latvia,1965,1.74
Latvia,1966,1.76
Latvia,1967,1.8
Latvia,1968,1.83
Latvia,1969,1.88
Latvia,1970,1.96
Latvia,1971,2.0
Latvia,1972,2.0
Latvia,1973,1.98
Latvia,1974,1.97
Latvia,1975,1.96
Latvia,1976,1.93
Latvia,1977,1.89
Latvia,1978,1.87
Latvia,1979,1.87
Latvia,1980,1.86
Latvia,1981,1.88
Latvia,1982,1.97
Latvia,1983,2.07
Latvia,1984,2.09
Latvia,1985,2.08
Latvia,1986,2.12
Latvia,1987,2.15
Latvia,1988,2.11
Latvia,1989,2.05
Latvia,1990,2.02
Latvia,1991,1.86
Latvia,1992,1.73
Latvia,1993,1.51
Latvia,1994,1.39
Latvia,1995,1.25
Latvia,1996,1.16
Latvia,1997,1.11
Latvia,1998,1.09
Latvia,1999,1.16
Latvia,2000,1.24
Latvia,2001,1.21
Latvia,2002,1.23
Latvia,2003,1.29
Latvia,2004,1.24
Latvia,2005,1.31
Latvia,2006,1.35
Latvia,2007,1.41
Latvia,2008,1.44
Latvia,2009,1.31
Latvia,2010,1.17
Latvia,2011,1.34
Latvia,2012,
Latvia,2013,
