CountryName,Year,FertilityRate
Lithuania,1960,2.56
Lithuania,1961,2.53
Lithuania,1962,2.45
Lithuania,1963,2.35
Lithuania,1964,2.28
Lithuania,1965,2.23
Lithuania,1966,2.22
Lithuania,1967,2.23
Lithuania,1968,2.24
Lithuania,1969,2.3
Lithuania,1970,2.37
Lithuania,1971,2.38
Lithuania,1972,2.33
Lithuania,1973,2.25
Lithuania,1974,2.21
Lithuania,1975,2.19
Lithuania,1976,2.17
Lithuania,1977,2.13
Lithuania,1978,2.09
Lithuania,1979,2.04
Lithuania,1980,2.03
Lithuania,1981,1.98
Lithuania,1982,1.99
Lithuania,1983,2.04
Lithuania,1984,2.09
Lithuania,1985,2.1
Lithuania,1986,2.14
Lithuania,1987,2.16
Lithuania,1988,2.09
Lithuania,1989,1.98
Lithuania,1990,2.03
Lithuania,1991,1.97
Lithuania,1992,1.89
Lithuania,1993,1.67
Lithuania,1994,1.57
Lithuania,1995,1.55
Lithuania,1996,1.49
Lithuania,1997,1.47
Lithuania,1998,1.46
Lithuania,1999,1.46
Lithuania,2000,1.39
Lithuania,2001,1.3
Lithuania,2002,1.24
Lithuania,2003,1.26
Lithuania,2004,1.26
Lithuania,2005,1.27
Lithuania,2006,1.31
Lithuania,2007,1.35
Lithuania,2008,1.47
Lithuania,2009,1.55
Lithuania,2010,1.55
Lithuania,2011,1.76
Lithuania,2012,
Lithuania,2013,
