CountryName,Year,FertilityRate
Luxembourg,1960,2.28
Luxembourg,1961,
Luxembourg,1962,2.369
Luxembourg,1963,
Luxembourg,1964,2.34
Luxembourg,1965,2.42
Luxembourg,1966,2.34
Luxembourg,1967,2.24
Luxembourg,1968,2.12
Luxembourg,1969,2.02
Luxembourg,1970,1.98
Luxembourg,1971,1.92
Luxembourg,1972,1.72
Luxembourg,1973,1.52
Luxembourg,1974,1.55
Luxembourg,1975,1.55
Luxembourg,1976,
Luxembourg,1977,1.45
Luxembourg,1978,1.49
Luxembourg,1979,1.48
Luxembourg,1980,1.5
Luxembourg,1981,1.55
Luxembourg,1982,1.49
Luxembourg,1983,1.44
Luxembourg,1984,1.43
Luxembourg,1985,1.38
Luxembourg,1986,1.44
Luxembourg,1987,1.4
Luxembourg,1988,1.51
Luxembourg,1989,1.52
Luxembourg,1990,1.62
Luxembourg,1991,1.6
Luxembourg,1992,1.67
Luxembourg,1993,1.69
Luxembourg,1994,1.72
Luxembourg,1995,1.68
Luxembourg,1996,1.76
Luxembourg,1997,1.71
Luxembourg,1998,1.68
Luxembourg,1999,1.74
Luxembourg,2000,1.76
Luxembourg,2001,1.66
Luxembourg,2002,1.63
Luxembourg,2003,1.62
Luxembourg,2004,1.66
Luxembourg,2005,1.63
Luxembourg,2006,1.65
Luxembourg,2007,1.61
Luxembourg,2008,1.61
Luxembourg,2009,1.59
Luxembourg,2010,1.63
Luxembourg,2011,1.52
Luxembourg,2012,
Luxembourg,2013,
