CountryName,Year,FertilityRate
"Macao SAR, China",1960,4.945
"Macao SAR, China",1961,4.763
"Macao SAR, China",1962,4.525
"Macao SAR, China",1963,4.242
"Macao SAR, China",1964,3.926
"Macao SAR, China",1965,3.594
"Macao SAR, China",1966,3.261
"Macao SAR, China",1967,2.9419999999999997
"Macao SAR, China",1968,2.647
"Macao SAR, China",1969,2.388
"Macao SAR, China",1970,2.166
"Macao SAR, China",1971,1.98
"Macao SAR, China",1972,1.821
"Macao SAR, China",1973,1.683
"Macao SAR, China",1974,1.568
"Macao SAR, China",1975,1.484
"Macao SAR, China",1976,1.44
"Macao SAR, China",1977,1.4409999999999998
"Macao SAR, China",1978,1.485
"Macao SAR, China",1979,1.5630000000000002
"Macao SAR, China",1980,1.665
"Macao SAR, China",1981,1.777
"Macao SAR, China",1982,1.882
"Macao SAR, China",1983,1.966
"Macao SAR, China",1984,2.021
"Macao SAR, China",1985,2.04
"Macao SAR, China",1986,2.019
"Macao SAR, China",1987,1.966
"Macao SAR, China",1988,1.891
"Macao SAR, China",1989,1.798
"Macao SAR, China",1990,1.694
"Macao SAR, China",1991,1.589
"Macao SAR, China",1992,1.4869999999999999
"Macao SAR, China",1993,1.3940000000000001
"Macao SAR, China",1994,1.3119999999999998
"Macao SAR, China",1995,1.242
"Macao SAR, China",1996,1.179
"Macao SAR, China",1997,1.119
"Macao SAR, China",1998,1.057
"Macao SAR, China",1999,0.996
"Macao SAR, China",2000,0.9390000000000001
"Macao SAR, China",2001,0.8909999999999999
"Macao SAR, China",2002,0.856
"Macao SAR, China",2003,0.838
"Macao SAR, China",2004,0.836
"Macao SAR, China",2005,0.8490000000000001
"Macao SAR, China",2006,0.8740000000000001
"Macao SAR, China",2007,0.9059999999999999
"Macao SAR, China",2008,0.9390000000000001
"Macao SAR, China",2009,0.973
"Macao SAR, China",2010,1.003
"Macao SAR, China",2011,1.031
"Macao SAR, China",2012,
"Macao SAR, China",2013,
