CountryName,Year,FertilityRate
Malaysia,1960,6.194
Malaysia,1961,6.136
Malaysia,1962,6.0520000000000005
Malaysia,1963,5.942
Malaysia,1964,5.808
Malaysia,1965,5.655
Malaysia,1966,5.492000000000001
Malaysia,1967,5.3260000000000005
Malaysia,1968,5.165
Malaysia,1969,5.013999999999999
Malaysia,1970,4.872
Malaysia,1971,4.737
Malaysia,1972,4.603
Malaysia,1973,4.468999999999999
Malaysia,1974,4.337
Malaysia,1975,4.209
Malaysia,1976,4.092
Malaysia,1977,3.99
Malaysia,1978,3.906
Malaysia,1979,3.839
Malaysia,1980,3.7889999999999997
Malaysia,1981,3.753
Malaysia,1982,3.725
Malaysia,1983,3.702
Malaysia,1984,3.679
Malaysia,1985,3.656
Malaysia,1986,3.63
Malaysia,1987,3.6039999999999996
Malaysia,1988,3.576
Malaysia,1989,3.5460000000000003
Malaysia,1990,3.515
Malaysia,1991,3.485
Malaysia,1992,3.4539999999999997
Malaysia,1993,3.4219999999999997
Malaysia,1994,3.385
Malaysia,1995,3.339
Malaysia,1996,3.275
Malaysia,1997,3.19
Malaysia,1998,3.085
Malaysia,1999,2.9610000000000003
Malaysia,2000,2.825
Malaysia,2001,2.6830000000000003
Malaysia,2002,2.544
Malaysia,2003,2.418
Malaysia,2004,2.307
Malaysia,2005,2.2159999999999997
Malaysia,2006,2.146
Malaysia,2007,2.093
Malaysia,2008,2.052
Malaysia,2009,2.023
Malaysia,2010,2.002
Malaysia,2011,1.986
Malaysia,2012,
Malaysia,2013,
