CountryName,Year,FertilityRate
Mali,1960,6.702999999999999
Mali,1961,6.725
Mali,1962,6.747000000000001
Mali,1963,6.77
Mali,1964,6.7929999999999975
Mali,1965,6.816
Mali,1966,6.837999999999999
Mali,1967,6.858
Mali,1968,6.875
Mali,1969,6.888999999999999
Mali,1970,6.901
Mali,1971,6.912999999999999
Mali,1972,6.9239999999999995
Mali,1973,6.937
Mali,1974,6.9510000000000005
Mali,1975,6.966
Mali,1976,6.982
Mali,1977,6.999
Mali,1978,7.016
Mali,1979,7.0310000000000015
Mali,1980,7.046
Mali,1981,7.059
Mali,1982,7.07
Mali,1983,7.08
Mali,1984,7.087999999999999
Mali,1985,7.093
Mali,1986,7.095
Mali,1987,7.0920000000000005
Mali,1988,7.086
Mali,1989,7.0760000000000005
Mali,1990,7.062
Mali,1991,7.044
Mali,1992,7.023
Mali,1993,6.999
Mali,1994,6.973
Mali,1995,6.947
Mali,1996,6.921
Mali,1997,6.896
Mali,1998,6.8729999999999976
Mali,1999,6.853
Mali,2000,6.836
Mali,2001,6.822
Mali,2002,6.811
Mali,2003,6.803
Mali,2004,6.7970000000000015
Mali,2005,6.796
Mali,2006,6.7989999999999995
Mali,2007,6.806
Mali,2008,6.817
Mali,2009,6.83
Mali,2010,6.841
Mali,2011,6.85
Mali,2012,
Mali,2013,
