CountryName,Year,FertilityRate
Malta,1960,3.62
Malta,1961,3.2739999999999996
Malta,1962,3.237
Malta,1963,2.904
Malta,1964,2.79
Malta,1965,2.52
Malta,1966,2.326
Malta,1967,2.2359999999999998
Malta,1968,2.12
Malta,1969,2.019
Malta,1970,2.025
Malta,1971,2.06
Malta,1972,2.0069999999999997
Malta,1973,1.649
Malta,1974,1.64
Malta,1975,2.274
Malta,1976,2.205
Malta,1977,2.18
Malta,1978,2.1180000000000003
Malta,1979,2.1
Malta,1980,1.99
Malta,1981,1.87
Malta,1982,1.98
Malta,1983,1.965
Malta,1984,1.95
Malta,1985,1.99
Malta,1986,1.98
Malta,1987,1.98
Malta,1988,2.08
Malta,1989,2.11
Malta,1990,2.05
Malta,1991,2.04
Malta,1992,2.12
Malta,1993,2.01
Malta,1994,1.89
Malta,1995,1.83
Malta,1996,2.1
Malta,1997,1.95
Malta,1998,1.88
Malta,1999,1.77
Malta,2000,1.7
Malta,2001,1.48
Malta,2002,1.45
Malta,2003,1.48
Malta,2004,1.4
Malta,2005,1.38
Malta,2006,1.39
Malta,2007,1.37
Malta,2008,1.44
Malta,2009,1.43
Malta,2010,1.38
Malta,2011,1.38
Malta,2012,
Malta,2013,
