CountryName,Year,FertilityRate
Marshall Islands,1960,
Marshall Islands,1961,
Marshall Islands,1962,
Marshall Islands,1963,
Marshall Islands,1964,
Marshall Islands,1965,
Marshall Islands,1966,
Marshall Islands,1967,
Marshall Islands,1968,
Marshall Islands,1969,
Marshall Islands,1970,
Marshall Islands,1971,
Marshall Islands,1972,
Marshall Islands,1973,
Marshall Islands,1974,
Marshall Islands,1975,
Marshall Islands,1976,
Marshall Islands,1977,
Marshall Islands,1978,
Marshall Islands,1979,
Marshall Islands,1980,
Marshall Islands,1981,
Marshall Islands,1982,
Marshall Islands,1983,
Marshall Islands,1984,
Marshall Islands,1985,
Marshall Islands,1986,
Marshall Islands,1987,5.9
Marshall Islands,1988,
Marshall Islands,1989,
Marshall Islands,1990,
Marshall Islands,1991,
Marshall Islands,1992,
Marshall Islands,1993,
Marshall Islands,1994,
Marshall Islands,1995,
Marshall Islands,1996,
Marshall Islands,1997,
Marshall Islands,1998,
Marshall Islands,1999,5.71
Marshall Islands,2000,
Marshall Islands,2001,
Marshall Islands,2002,
Marshall Islands,2003,
Marshall Islands,2004,
Marshall Islands,2005,4.5
Marshall Islands,2006,4.5
Marshall Islands,2007,4.5
Marshall Islands,2008,
Marshall Islands,2009,
Marshall Islands,2010,
Marshall Islands,2011,
Marshall Islands,2012,
Marshall Islands,2013,
