CountryName,Year,FertilityRate
Mauritania,1960,6.775
Mauritania,1961,6.787000000000001
Mauritania,1962,6.794
Mauritania,1963,6.797999999999999
Mauritania,1964,6.7989999999999995
Mauritania,1965,6.7989999999999995
Mauritania,1966,6.797999999999999
Mauritania,1967,6.797999999999999
Mauritania,1968,6.795
Mauritania,1969,6.791
Mauritania,1970,6.784
Mauritania,1971,6.774
Mauritania,1972,6.7589999999999995
Mauritania,1973,6.739
Mauritania,1974,6.712999999999999
Mauritania,1975,6.681
Mauritania,1976,6.641
Mauritania,1977,6.593999999999999
Mauritania,1978,6.541
Mauritania,1979,6.484
Mauritania,1980,6.426
Mauritania,1981,6.367999999999999
Mauritania,1982,6.314
Mauritania,1983,6.263999999999999
Mauritania,1984,6.218999999999999
Mauritania,1985,6.178
Mauritania,1986,6.141
Mauritania,1987,6.104
Mauritania,1988,6.065
Mauritania,1989,6.023
Mauritania,1990,5.978
Mauritania,1991,5.928
Mauritania,1992,5.875
Mauritania,1993,5.818
Mauritania,1994,5.757999999999999
Mauritania,1995,5.6960000000000015
Mauritania,1996,5.632999999999999
Mauritania,1997,5.569
Mauritania,1998,5.505
Mauritania,1999,5.442
Mauritania,2000,5.381
Mauritania,2001,5.3210000000000015
Mauritania,2002,5.263
Mauritania,2003,5.205
Mauritania,2004,5.15
Mauritania,2005,5.095
Mauritania,2006,5.042
Mauritania,2007,4.99
Mauritania,2008,4.939
Mauritania,2009,4.888
Mauritania,2010,4.837
Mauritania,2011,4.783
Mauritania,2012,
Mauritania,2013,
