CountryName,Year,FertilityRate
Mauritius,1960,6.1670000000000025
Mauritius,1961,6.178
Mauritius,1962,6.124
Mauritius,1963,5.992999999999999
Mauritius,1964,5.785
Mauritius,1965,5.51
Mauritius,1966,5.187
Mauritius,1967,4.8469999999999995
Mauritius,1968,4.516
Mauritius,1969,4.213
Mauritius,1970,3.952
Mauritius,1971,3.741
Mauritius,1972,3.575
Mauritius,1973,3.444
Mauritius,1974,3.341
Mauritius,1975,3.255
Mauritius,1976,3.1689999999999996
Mauritius,1977,3.071
Mauritius,1978,2.9539999999999997
Mauritius,1979,2.818
Mauritius,1980,2.6719999999999997
Mauritius,1981,2.532
Mauritius,1982,2.412
Mauritius,1983,2.325
Mauritius,1984,2.16
Mauritius,1985,2.02
Mauritius,1986,1.99
Mauritius,1987,2.05
Mauritius,1988,2.14
Mauritius,1989,2.23
Mauritius,1990,2.32
Mauritius,1991,2.3
Mauritius,1992,2.37
Mauritius,1993,2.21
Mauritius,1994,2.25
Mauritius,1995,2.14
Mauritius,1996,2.12
Mauritius,1997,2.04
Mauritius,1998,1.97
Mauritius,1999,2.05
Mauritius,2000,1.99
Mauritius,2001,1.91
Mauritius,2002,1.94
Mauritius,2003,1.87
Mauritius,2004,1.87
Mauritius,2005,1.82
Mauritius,2006,1.7
Mauritius,2007,1.66
Mauritius,2008,1.58
Mauritius,2009,1.5
Mauritius,2010,1.47
Mauritius,2011,1.45
Mauritius,2012,
Mauritius,2013,
