CountryName,Year,FertilityRate
Mexico,1960,6.7829999999999995
Mexico,1961,6.776
Mexico,1962,6.771
Mexico,1963,6.768
Mexico,1964,6.767
Mexico,1965,6.769
Mexico,1966,6.773
Mexico,1967,6.777
Mexico,1968,6.775
Mexico,1969,6.76
Mexico,1970,6.72
Mexico,1971,6.643
Mexico,1972,6.525
Mexico,1973,6.364
Mexico,1974,6.164
Mexico,1975,5.932
Mexico,1976,5.678999999999999
Mexico,1977,5.4179999999999975
Mexico,1978,5.162999999999999
Mexico,1979,4.9239999999999995
Mexico,1980,4.705
Mexico,1981,4.51
Mexico,1982,4.334
Mexico,1983,4.1739999999999995
Mexico,1984,4.029
Mexico,1985,3.898
Mexico,1986,3.778
Mexico,1987,3.6689999999999996
Mexico,1988,3.5660000000000003
Mexico,1989,3.468
Mexico,1990,3.375
Mexico,1991,3.285
Mexico,1992,3.199
Mexico,1993,3.117
Mexico,1994,3.04
Mexico,1995,2.966
Mexico,1996,2.8960000000000004
Mexico,1997,2.8310000000000004
Mexico,1998,2.77
Mexico,1999,2.7119999999999997
Mexico,2000,2.659
Mexico,2001,2.61
Mexico,2002,2.565
Mexico,2003,2.523
Mexico,2004,2.484
Mexico,2005,2.448
Mexico,2006,2.4130000000000003
Mexico,2007,2.379
Mexico,2008,2.346
Mexico,2009,2.313
Mexico,2010,2.281
Mexico,2011,2.248
Mexico,2012,
Mexico,2013,
