CountryName,Year,FertilityRate
"Micronesia, Fed. Sts.",1960,6.934
"Micronesia, Fed. Sts.",1961,6.9170000000000025
"Micronesia, Fed. Sts.",1962,6.905
"Micronesia, Fed. Sts.",1963,6.897
"Micronesia, Fed. Sts.",1964,6.893
"Micronesia, Fed. Sts.",1965,6.894
"Micronesia, Fed. Sts.",1966,6.9
"Micronesia, Fed. Sts.",1967,6.9110000000000005
"Micronesia, Fed. Sts.",1968,6.9239999999999995
"Micronesia, Fed. Sts.",1969,6.935
"Micronesia, Fed. Sts.",1970,6.938
"Micronesia, Fed. Sts.",1971,6.925
"Micronesia, Fed. Sts.",1972,6.894
"Micronesia, Fed. Sts.",1973,6.8420000000000005
"Micronesia, Fed. Sts.",1974,6.77
"Micronesia, Fed. Sts.",1975,6.682
"Micronesia, Fed. Sts.",1976,6.586
"Micronesia, Fed. Sts.",1977,6.49
"Micronesia, Fed. Sts.",1978,6.398
"Micronesia, Fed. Sts.",1979,6.311
"Micronesia, Fed. Sts.",1980,6.223
"Micronesia, Fed. Sts.",1981,6.129
"Micronesia, Fed. Sts.",1982,6.02
"Micronesia, Fed. Sts.",1983,5.894
"Micronesia, Fed. Sts.",1984,5.7520000000000024
"Micronesia, Fed. Sts.",1985,5.6
"Micronesia, Fed. Sts.",1986,5.4460000000000015
"Micronesia, Fed. Sts.",1987,5.2989999999999995
"Micronesia, Fed. Sts.",1988,5.167000000000002
"Micronesia, Fed. Sts.",1989,5.052
"Micronesia, Fed. Sts.",1990,4.958
"Micronesia, Fed. Sts.",1991,4.882
"Micronesia, Fed. Sts.",1992,4.82
"Micronesia, Fed. Sts.",1993,4.766
"Micronesia, Fed. Sts.",1994,4.716
"Micronesia, Fed. Sts.",1995,4.664
"Micronesia, Fed. Sts.",1996,4.6080000000000005
"Micronesia, Fed. Sts.",1997,4.544
"Micronesia, Fed. Sts.",1998,4.471
"Micronesia, Fed. Sts.",1999,4.39
"Micronesia, Fed. Sts.",2000,4.3
"Micronesia, Fed. Sts.",2001,4.204
"Micronesia, Fed. Sts.",2002,4.105
"Micronesia, Fed. Sts.",2003,4.007
"Micronesia, Fed. Sts.",2004,3.912
"Micronesia, Fed. Sts.",2005,3.823
"Micronesia, Fed. Sts.",2006,3.739
"Micronesia, Fed. Sts.",2007,3.661
"Micronesia, Fed. Sts.",2008,3.589
"Micronesia, Fed. Sts.",2009,3.522
"Micronesia, Fed. Sts.",2010,3.46
"Micronesia, Fed. Sts.",2011,3.4019999999999997
"Micronesia, Fed. Sts.",2012,
"Micronesia, Fed. Sts.",2013,
